arm,purpose,actual_model,observed_rows,gpu_allocation_fraction_known_count,gpu_allocation_fraction_mean,gpu_allocation_fraction_sum,gpu_allocation_fraction_min,gpu_allocation_fraction_max,loaded_bytes_known_count,loaded_bytes_mean,loaded_bytes_sum,loaded_bytes_min,loaded_bytes_max,gpu_allocated_bytes_known_count,gpu_allocated_bytes_mean,gpu_allocated_bytes_sum,gpu_allocated_bytes_min,gpu_allocated_bytes_max,output_tokens_known_count,output_tokens_mean,output_tokens_sum,output_tokens_min,output_tokens_max,prompt_tokens_known_count,prompt_tokens_mean,prompt_tokens_sum,prompt_tokens_min,prompt_tokens_max
adaptive,generation,qwen3:0.6b,18,18,1.0,18.0,1.0,1.0,18,693423308,12481619544,693423308,693423308,18,693423308,12481619544,693423308,693423308,18,32.333333333333336,582,18,55,18,419.6666666666667,7554,342,556
adaptive,generation,qwen3:1.7b,30,30,0.6089670960117476,18.269012880352424,0.5407274430786109,0.662442003615788,30,1658823112.9666667,49764693389,1658815773,1658826259,30,1010168757.8666667,30305062736,896972881,1098876190,30,53.06666666666667,1592,18,108,30,445.06666666666666,13352,314,578
adaptive,memory_selector,qwen3:0.6b,12,12,1.0,12.0,1.0,1.0,12,693423308,8321079696,693423308,693423308,12,693423308,8321079696,693423308,693423308,12,13,156,13,13,12,743.0833333333334,8917,740,771
adaptive,memory_selector,qwen3:1.7b,19,19,0.6111953342637836,11.612711351011885,0.5886331604106347,0.662442003615788,19,1658821843.6842105,31517615030,1658815773,1658826259,19,1013864270.8421053,19263421146,976433971,1098876190,19,13.842105263157896,263,13,17,19,674.7368421052631,12820,270,791
large,generation,qwen3:1.7b,48,48,0.5911170573495996,28.373618752780768,0.4908689803011657,0.662442003615788,48,1658821015.8333333,79623408760,1658815773,1658826259,48,980557496,47066759808,814261207,1098876190,48,44.833333333333336,2152,18,100,48,430.0625,20643,314,563
large,memory_selector,qwen3:1.7b,31,31,0.5874023541920576,18.20947297995377,0.4908689803011657,0.662442003615788,31,1658820170.2580645,51423425278,1658815773,1658826259,31,974394997.967742,30206244937,814261207,1098876190,31,13.516129032258064,419,13,17,31,702.8064516129032,21787,270,791
replay,generation,qwen3:0.6b,18,18,1.0,18.0,1.0,1.0,18,693423308,12481619544,693423308,693423308,18,693423308,12481619544,693423308,693423308,18,32.333333333333336,582,18,55,18,419.6666666666667,7554,342,556
replay,generation,qwen3:1.7b,30,30,0.6089667238842861,18.269001716528575,0.5646784411073155,0.662442003615788,30,1658824161.6666667,49764724850,1658815773,1658826259,30,1010168757.8666667,30305062736,936703426,1098876190,30,54.5,1635,18,108,30,445.06666666666666,13352,314,578
small,generation,qwen3:0.6b,48,48,1.0,48.0,1.0,1.0,48,693423308,33284318784,693423308,693423308,48,693423308,33284318784,693423308,693423308,48,44.104166666666664,2117,18,105,48,449.0416666666667,21554,342,582
small,memory_selector,qwen3:0.6b,31,31,1.0,31.0,1.0,1.0,31,693423308,21496122548,693423308,693423308,31,693423308,21496122548,693423308,693423308,31,13.516129032258064,419,13,17,31,700.8064516129032,21725,293,791
