attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,workload_label,request_wall_seconds,selected_model_size,model_decision_source,memory_required,memory_decision_source,actual_final_generator,all_generator_calls,backend_generation_calls,requested_generation_calls,backend_classifier_calls,generation_tokens_known_calls,generation_output_tokens_all_calls,final_generation_output_tokens,classifier_output_tokens,all_backend_output_tokens,final_generator_gpu_allocation_fraction,residency_before,residency_after,residency_condition,previous_generator,following_turn_of_condition,return_to_small,after_small_return,first_backend_caller,application_answer_constraint,literal_speech_schema_constrained,generation_policy,fallback_from_model,quality_label,correct,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,exclusive_unaccounted_seconds,exclusive_other_instrumented_seconds,exclusive_deterministic_routing_and_bookkeeping_seconds,exclusive_answer_generation_seconds,exclusive_eviction_seconds,exclusive_residency_audit_seconds,exclusive_validation_seconds,exclusive_memory_classifier_seconds,exclusive_retrieval_seconds
ro_ddee_1_r1_adaptive,ro_ddee_1,DDEE,adaptive,1,ro_ddee_1_t4,4,ok,E,13.569767068,small,lightweight_small,False,resident_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,25,25,13,38,1.0,"[""qwen3:1.7b""]","[""qwen3:0.6b""]",model_switch,qwen3:1.7b,resident_same_model,True,False,memory_selector,False,False,,,,,9.601033889,1.506264,1.784798,13.075197161,9.597621274,0.493082,0.690485,10.810406302,0.003412615,1.013182,1.094313,2.264790859,0.004363612,0.021348238,0.031203564,10.906229058,0.228079008,0.017601641,0.004866731,2.356075216,
ro_ddee_1_r1_large,ro_ddee_1,DDEE,large,1,ro_ddee_1_t1,1,ok,D,61.996477041,large,fixed_generator,False,policy_general,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,46,46,0,46,0.5886331604106347,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,fixed_generator,,,,27.711938806,0.900684,32.18125,60.834804898,27.711938806,0.900684,32.18125,60.834804898,0,0,0,0,0.005985159,0.266366048,0.477630321,61.231660184,,0.008576602,0.006258727,,
ro_ddee_1_r1_large,ro_ddee_1,DDEE,large,1,ro_ddee_1_t2,2,ok,D,36.073090316,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,59,59,13,72,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.00408554,1.9075890000000002,33.740231,35.863700551,0.001938213,0.572083,29.842359,30.568839127,0.002147327,1.335506,3.897872,5.294861424,0.005652641,0.022280661,0.018539925,30.644262146,,0.014335383,0.00631406,5.3617055,
ro_ddee_1_r1_large,ro_ddee_1,DDEE,large,1,ro_ddee_1_t3,3,ok,E,12.658265436,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,26,26,13,39,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.004664238,2.695498,9.551464,12.438258521,0.001817547,0.45838,2.948478,3.503514114,0.002846691,2.237118,6.602986,8.934744407,0.004177043,0.020157239,0.022009722,3.581994136,,0.01463316,0.00572128,9.009572856,
ro_ddee_1_r1_large,ro_ddee_1,DDEE,large,1,ro_ddee_1_t4,4,ok,E,11.719770929,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,28,28,13,41,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005231367000000001,2.810574,8.463427,11.49775642,0.002306048,0.488347,6.950938,7.561137206,0.002925319,2.322227,1.512489,3.936619214,0.003545094,0.022764764,0.01970668,7.641674921,,0.018227651,0.005280805,4.008571014,
ro_ddee_1_r1_replay,ro_ddee_1,DDEE,replay,1,ro_ddee_1_t1,1,ok,D,30.138891913,large,lightweight_large,False,policy_general,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,46,46,0,46,0.5646784411073155,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,24.975271041,0.846015,4.115067,29.954239892,24.975271041,0.846015,4.115067,29.954239892,0,0,0,0,0.005384613,0.031321232,0.014240906,30.051488629,0.023851623,0.006464102,0.006140808,,
ro_ddee_1_r1_replay,ro_ddee_1,DDEE,replay,1,ro_ddee_1_t2,2,ok,D,6.541204801,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,85,85,0,85,0.5646784411073155,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,generation,False,False,,,,,0.002749944,0.54067,5.835895,6.398094217,0.002749944,0.54067,5.835895,6.398094217,0,0,0,0,0.00376872,0.02651889,0.01574884,6.48267082,,0.008076337,0.004421194,,
ro_ddee_1_r1_replay,ro_ddee_1,DDEE,replay,1,ro_ddee_1_t3,3,ok,E,2.569664945,large,lightweight_resident,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,26,26,0,26,0.5646784411073155,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,generation,False,False,,,,,0.002901315,0.490396,1.901435,2.420927651,0.002901315,0.490396,1.901435,2.420927651,0,0,0,0,0.004842,0.023556084,0.013526039,2.514946083,,0.006929289,0.00586545,,
ro_ddee_1_r1_replay,ro_ddee_1,DDEE,replay,1,ro_ddee_1_t4,4,ok,E,10.863960954,small,lightweight_small,False,resident_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,0,1,25,25,0,25,1.0,"[""qwen3:1.7b""]","[""qwen3:0.6b""]",model_switch,qwen3:1.7b,resident_same_model,True,False,generation,False,False,,,,,9.396767627,0.430381,0.658145,10.511520481,9.396767627,0.430381,0.658145,10.511520481,0,0,0,0,0.004719168,0.021687137,0.017284227,10.617012367,0.190404476,0.007989663,0.004863916,,
ro_ddee_1_r1_small,ro_ddee_1,DDEE,small,1,ro_ddee_1_t1,1,ok,D,11.512345242,small,fixed_generator,False,policy_general,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,0,1,50,50,0,50,1.0,[],"[""qwen3:0.6b""]",cold_start,,,False,False,generation,False,False,fixed_generator,,,,9.650651809,0.438023,1.240986,11.348751847,9.650651809,0.438023,1.240986,11.348751847,0,0,0,0,0.007512547,0.030963563,0.023901642,11.436128539,,0.007409204,0.006429747,,
ro_ddee_1_r1_small,ro_ddee_1,DDEE,small,1,ro_ddee_1_t2,2,ok,D,2.717060505,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,60,60,13,73,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.004924682,0.49154200000000003,1.743856,2.437589596,0.002844407,0.074784,1.43377,1.637327229,0.002080275,0.416758,0.310086,0.800262367,0.004622721,0.028772408,0.021070148,1.724108605,,0.027022642,0.004840318,0.906623663,
ro_ddee_1_r1_small,ro_ddee_1,DDEE,small,1,ro_ddee_1_t3,3,ok,E,1.487504713,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,18,18,13,31,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.006464019,0.287416,0.742226,1.25210115,0.004005615,0.064409,0.416957,0.602813054,0.002458404,0.223007,0.325269,0.649288096,0.006506872,0.021003308,0.019689666,0.681052978,,0.014792506,0.005967888,0.738491495,
ro_ddee_1_r1_small,ro_ddee_1,DDEE,small,1,ro_ddee_1_t4,4,ok,E,1.28812648,small,fixed_generator,False,fixed_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,18,18,13,31,1.0,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.004596669,0.08419399999999999,0.726301,1.043946107,0.002380057,0.04475,0.418994,0.596802947,0.002216612,0.039444,0.307307,0.44714316,0.004221866,0.023047701,0.02022397,0.683735232,,0.019157588,0.006711377,0.531028746,
ro_ddee_2_r1_adaptive,ro_ddee_2,DDEE,adaptive,1,ro_ddee_2_t1,1,ok,D,36.196920902,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,71,71,13,84,0.5886331604106347,[],"[""qwen3:1.7b""]",cold_start,,,False,False,memory_selector,False,False,,,,,25.177709628,2.1045499999999997,8.343039,35.816724558000004,0.002821528,0.611761,6.97272,7.750478934,25.1748881,1.492789,1.370319,28.066245624,0.004491926,0.12418896,0.037242519,7.831315713,0.01912717,0.014609534,0.005572361,28.160372719,
ro_ddee_2_r1_adaptive,ro_ddee_2,DDEE,adaptive,1,ro_ddee_2_t2,2,ok,D,5.822431508,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,24,24,17,41,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,,,,,0.004096023000000001,1.072805,4.386227,5.583492373,0.002138786,0.528359,3.157055,3.756081709,0.001957237,0.544446,1.229172,1.827410664,0.004674115,0.029247343,0.028821331,3.832457273,,0.016105671,0.005204107,1.905921668,
ro_ddee_2_r1_adaptive,ro_ddee_2,DDEE,adaptive,1,ro_ddee_2_t3,3,ok,E,15.160956021,large,lightweight_resident,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,18,18,13,31,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,,,,,0.004179036,2.172101,12.53168,14.921516551,0.002192773,0.436043,5.628435,6.183898204,0.001986263,1.736058,6.903245,8.737618347,0.005114879,0.019516123,0.034406344,6.265336509,,0.016510134,0.004683775,8.815388257,
ro_ddee_2_r1_adaptive,ro_ddee_2,DDEE,adaptive,1,ro_ddee_2_t4,4,ok,E,13.171580967,small,lightweight_small,False,resident_model,qwen3:0.6b,"[""qwen3:0.6b""]",1,1,1,1,19,19,13,32,1.0,"[""qwen3:1.7b""]","[""qwen3:0.6b""]",model_switch,qwen3:1.7b,resident_same_model,True,False,memory_selector,False,False,,,,,9.731403932,1.081324,1.7733120000000002,12.712387316,9.729111024,0.484085,0.565567,10.80887754,0.002292908,0.597239,1.207745,1.903509776,0.004756224,0.021090497,0.030321851,10.909849692,0.201020328,0.015965186,0.004809348,1.983767841,
ro_ddee_2_r1_large,ro_ddee_2,DDEE,large,1,ro_ddee_2_t1,1,ok,D,31.295577644,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,71,71,13,84,0.5886331604106347,[],"[""qwen3:1.7b""]",cold_start,,,False,False,memory_selector,False,False,fixed_generator,,,,22.907047403,1.988232,6.023477,31.040560029,0.002880075,0.613112,4.972085,5.677645969,22.904167328,1.37512,1.051392,25.36291406,0.004699549,0.029183608,0.02564831,5.755112692,,0.017288702,0.009335349,25.454309434,
ro_ddee_2_r1_large,ro_ddee_2,DDEE,large,1,ro_ddee_2_t2,2,ok,D,4.553144573,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,24,24,17,41,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.005011094,1.133684,3.047586,4.317178398,0.002175024,0.608238,1.733101,2.424666585,0.00283607,0.525446,1.314485,1.892511813,0.005831863,0.023940624,0.021781766,2.506820687,,0.016089396,0.006192149,1.972488088,
ro_ddee_2_r1_large,ro_ddee_2,DDEE,large,1,ro_ddee_2_t3,3,ok,E,4.102786218,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,18,18,13,31,0.5886331604106347,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005685835,1.116265,2.5124649999999997,3.8634964849999998,0.002841637,0.475011,1.43137,2.028619184,0.002844198,0.641254,1.081095,1.834877301,0.003840918,0.027731803,0.021094761,2.11329836,,0.015968455,0.004707707,1.916144214,
