sequence_id,pattern,repetition,index,comparator,adaptive_status,comparator_status,adaptive_actual_generator,comparator_actual_generator,adaptive_residency_condition,comparator_residency_condition,adaptive_following_turn_of_condition,adaptive_correct,comparator_correct,adaptive_minus_comparator_request_wall_seconds,adaptive_minus_comparator_generation_output_tokens_all_calls,adaptive_minus_comparator_classifier_output_tokens,adaptive_minus_comparator_all_backend_output_tokens,adaptive_minus_comparator_final_generator_gpu_allocation_fraction,adaptive_minus_comparator_all_backend_load_duration_seconds,adaptive_minus_comparator_all_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_all_backend_eval_duration_seconds,adaptive_minus_comparator_all_backend_total_duration_seconds,adaptive_minus_comparator_generation_backend_load_duration_seconds,adaptive_minus_comparator_generation_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_generation_backend_eval_duration_seconds,adaptive_minus_comparator_generation_backend_total_duration_seconds,adaptive_minus_comparator_classifier_backend_load_duration_seconds,adaptive_minus_comparator_classifier_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_total_duration_seconds,quality_outcome
ro_dddd_2,DDDD,1,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,False,False,22.867126325,-6,0,-6,-0.38545999289006916,-0.0006881719999999999,0.6365009999999999,22.189246999999998,22.895581428,-0.000775375,0.45698599999999995,15.624596,16.120696388,8.720300000000011e-05,0.179515,6.564651,6.77488504,neither_correct
ro_dddd_2,DDDD,1,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,False,False,18.571979766,26,0,26,-0.38545999289006916,0.0014597450000000001,0.6259250000000001,17.853016,18.562416715,0.0006542550000000003,0.44896600000000003,13.323526999999999,13.816467234000001,0.0008054899999999999,0.176959,4.529489,4.745949481,neither_correct
ro_dddd_2,DDDD,1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,False,False,-6.357224680000002,0,0,0,0.025906846699296104,-0.13378380300000003,-0.0828009999999999,-6.1521930000000005,-6.397305525999997,-0.000946292,0.010723999999999956,-1.549866999999999,-1.5657408830000001,-0.1328375109999982,-0.09352499999999986,-4.602326,-4.831564643,neither_correct
ro_dddd_2,DDDD,1,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,False,False,0.5604247789999999,0,0,0,0.025906846699296104,-0.00036662999999999973,-0.03197399999999995,0.5379389999999997,0.501354705999999,0.0002785349999999999,-0.0017379999999999618,4.088997,4.087077589,-0.0006451650000000001,-0.030235999999999985,-3.5510580000000003,-3.585722883,neither_correct
ro_dddd_2,DDDD,1,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,False,False,2.827249042000002,2,0,2,0.025906846699296104,-4.2208000000000176e-05,-0.011606000000000116,2.831555999999999,2.8336938049999993,-0.0004791140000000001,0.07022199999999995,0.36201300000000103,0.4302007209999985,0.0004369059999999999,-0.08182800000000001,2.469543,2.403493084000001,neither_correct
ro_dddd_2,DDDD,1,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,False,False,-11.676050338,0,0,0,0.025906846699296104,-0.0004909850000000002,-0.034487000000000045,-11.652497999999998,-11.688918338,-0.00038403899999999965,0.02001900000000001,-9.238393,-9.222151739000001,-0.00010694600000000012,-0.054506,-2.414105,-2.4667665989999996,neither_correct
ro_dddd_2,DDDD,1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,False,False,8.960689458999994,0,13,13,-0.047901996505857136,0.18616204499999967,1.044192,7.529078999999999,8.851046091,-23.271352174,-0.134038,4.70284,-18.637624691,23.457514219,1.17823,2.826239,27.488670782,neither_correct
ro_dddd_2,DDDD,1,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,False,False,8.547254297,0,17,17,-0.047901996505857136,0.0014471990000000001,0.47919700000000004,7.850766,8.416807789,-0.00038442399999999996,0.03090900000000002,3.425853,3.5024330089999998,0.001831623,0.448288,4.424913,4.91437478,neither_correct
ro_dddd_2,DDDD,1,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,False,False,5.679070677999999,0,13,13,-0.047901996505857136,0.0029689589999999997,0.35290199999999994,5.045207999999999,5.588399320000001,0.00010067399999999982,0.12834299999999998,-1.8605060000000009,-1.6426484660000007,0.002868285,0.224559,6.905714,7.231047786,neither_correct
ro_dddd_2,DDDD,1,4,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,False,False,7.4204097309999995,0,13,13,-0.047901996505857136,0.002332466,0.28939200000000004,6.8603960000000015,7.312949884000002,-0.0006668619999999998,0.054071000000000036,1.9741669999999996,2.085681415,0.002999328,0.235321,4.886229,5.227268469,neither_correct
