arm,deadline_seconds,correct_delivered_percent_of_144,validated_delivered_percent_of_144
small,0.0,0.0,0.0
small,1.014101612,0.6944444444444444,0.6944444444444444
small,1.025874303,1.3888888888888888,1.3888888888888888
small,1.0714508,2.0833333333333335,2.0833333333333335
small,1.080466821,2.7777777777777777,2.7777777777777777
small,1.111885733,3.4722222222222223,3.4722222222222223
small,1.117704005,4.166666666666667,4.166666666666667
small,1.142888519,4.861111111111111,4.861111111111111
small,1.144838826,4.861111111111111,5.555555555555555
small,1.155121103,5.555555555555555,6.25
small,1.155708763,6.25,6.944444444444445
small,1.17695232,6.25,7.638888888888889
small,1.178055788,6.25,8.333333333333334
small,1.19107106,6.25,9.027777777777779
small,1.220571765,6.25,9.722222222222221
small,1.230805148,6.25,10.416666666666666
small,1.317387501,6.25,11.11111111111111
small,1.354113221,6.25,11.805555555555555
small,1.369757886,6.25,12.5
small,1.460403642,6.944444444444445,13.194444444444445
small,1.464572139,6.944444444444445,13.88888888888889
small,1.466680401,7.638888888888889,14.583333333333334
small,1.468579373,8.333333333333334,15.277777777777779
small,1.472047715,8.333333333333334,15.972222222222221
small,1.481970997,9.027777777777779,16.666666666666668
small,1.492046371,9.027777777777779,17.36111111111111
small,1.495338159,9.722222222222221,18.055555555555557
small,1.502763057,10.416666666666666,18.75
small,1.513868932,10.416666666666666,19.444444444444443
small,1.51806682,11.11111111111111,20.13888888888889
small,1.519099936,11.11111111111111,20.833333333333332
small,1.523469326,11.11111111111111,21.52777777777778
small,1.52979608,11.805555555555555,22.22222222222222
small,1.530245245,11.805555555555555,22.916666666666668
small,1.532730111,12.5,23.61111111111111
small,1.545110244,12.5,24.305555555555557
small,1.547865509,13.194444444444445,25.0
small,1.554172238,13.194444444444445,25.694444444444443
small,1.555425703,13.194444444444445,26.38888888888889
small,1.563834157,13.194444444444445,27.083333333333332
small,1.567806188,13.88888888888889,27.77777777777778
small,1.569139893,13.88888888888889,28.47222222222222
small,1.593418579,14.583333333333334,29.166666666666668
small,1.594209342,15.277777777777779,29.86111111111111
small,1.598119003,15.972222222222221,30.555555555555557
small,1.603508813,15.972222222222221,31.25
small,1.635220452,16.666666666666668,31.944444444444443
small,1.646527249,17.36111111111111,32.638888888888886
small,1.650495118,18.055555555555557,33.333333333333336
small,1.667963723,18.75,34.02777777777778
small,1.717533299,18.75,34.72222222222222
small,1.748637898,18.75,35.416666666666664
small,1.766873731,18.75,36.111111111111114
small,1.79699276,18.75,36.80555555555556
small,1.834426164,18.75,37.5
small,1.875105319,19.444444444444443,38.19444444444444
small,1.879378201,19.444444444444443,38.888888888888886
small,1.905753106,19.444444444444443,39.583333333333336
small,1.90951523,19.444444444444443,40.27777777777778
small,1.927606056,19.444444444444443,40.97222222222222
small,1.941225303,19.444444444444443,41.666666666666664
small,1.942758327,20.13888888888889,42.361111111111114
small,1.954729941,20.13888888888889,43.05555555555556
small,1.95836067,20.13888888888889,43.75
small,1.971147378,20.833333333333332,44.44444444444444
small,1.971769149,20.833333333333332,45.138888888888886
small,1.996151428,20.833333333333332,45.833333333333336
small,1.997802599,20.833333333333332,46.52777777777778
small,2.02138746,20.833333333333332,47.22222222222222
small,2.044806002,20.833333333333332,47.916666666666664
small,2.054955581,20.833333333333332,48.611111111111114
small,2.060524043,20.833333333333332,49.30555555555556
small,2.07980205,20.833333333333332,50.0
small,2.100739914,20.833333333333332,50.69444444444444
small,2.108018481,21.52777777777778,51.388888888888886
small,2.126116413,21.52777777777778,52.083333333333336
small,2.133991305,21.52777777777778,52.77777777777778
small,2.167290445,21.52777777777778,53.47222222222222
small,2.171267706,21.52777777777778,54.166666666666664
small,2.195412472,21.52777777777778,54.861111111111114
small,2.210289957,21.52777777777778,55.55555555555556
small,2.221783236,21.52777777777778,56.25
small,2.237518833,21.52777777777778,56.94444444444444
small,2.251431769,21.52777777777778,57.638888888888886
small,2.254410634,21.52777777777778,58.333333333333336
small,2.255472016,21.52777777777778,59.02777777777778
small,2.256893686,22.22222222222222,59.72222222222222
small,2.260291428,22.916666666666668,60.416666666666664
small,2.265181099,22.916666666666668,61.111111111111114
small,2.268570941,22.916666666666668,61.80555555555556
small,2.279765589,22.916666666666668,62.5
small,2.282627395,22.916666666666668,63.19444444444444
small,2.288092717,22.916666666666668,63.888888888888886
small,2.306649754,23.61111111111111,64.58333333333333
small,2.31253249,24.305555555555557,65.27777777777777
small,2.314839201,25.0,65.97222222222223
small,2.315383468,25.0,66.66666666666667
small,2.319663184,25.694444444444443,67.36111111111111
small,2.327356955,26.38888888888889,68.05555555555556
small,2.328789735,26.38888888888889,68.75
small,2.350461263,27.083333333333332,69.44444444444444
small,2.382449516,27.083333333333332,70.13888888888889
