arm,repetition,attempts,correct,mean_seconds
small,1,48,14,2.3351208031041666
small,2,48,14,2.336154593083333
small,3,48,14,2.270795461145833
large,1,48,13,17.448391865166666
large,2,48,15,7.956569410708333
large,3,48,16,8.358833818854167
cascade,1,48,14,7.2881542703125
cascade,2,48,16,10.371968608979167
cascade,3,48,16,9.086556447604167
