attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,memory_classifier_seconds,eviction_seconds,residency_audit_seconds,answer_generation_seconds,validation_seconds,retrieval_seconds
ro_eeee_1_r1_replay,ro_eeee_1,EEEE,replay,1,ro_eeee_1_t3,3,ok,1.134589992,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,429,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.015611648,0.0,0.0,0.0,0.006659295,0.0,0.0,0,0,1,0.004668675,0.03219422,0.015611648,,,0.008321944,1.062782147,0.011011358,
ro_eeee_1_r1_replay,ro_eeee_1,EEEE,replay,1,ro_eeee_1_t4,4,ok,1.088837546,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.014940471,0.0,0.0,0.0,0.005366157,0.0,0.0,0,0,1,0.004003129,0.022638244,0.014940471,,,0.006843138,1.035358092,0.005054472,
ro_eeee_1_r1_small,ro_eeee_1,EEEE,small,1,ro_eeee_1_t1,1,ok,12.198719156,E,qwen3:0.6b,small,fixed_generator,fixed_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,37,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,10.852261351,0.009237425,10.828445588,0.0,0.013174454,0.0,0.0,1,0,1,0.004947149,0.025521542,0.023815763,10.820469772,,0.013866781,1.302728195,0.007369954,
ro_eeee_1_r1_small,ro_eeee_1,EEEE,small,1,ro_eeee_1_t2,2,ok,1.969340306,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,32,385,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.812882274,0.004796172,0.789346956,0.0,0.011220519,0.0,0.0,1,0,1,0.004684395,0.022539693,0.023535318,0.782535054,,0.015456333,1.112683201,0.007906312,
ro_eeee_1_r1_small,ro_eeee_1,EEEE,small,1,ro_eeee_1_t3,3,ok,1.699976876,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,429,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.581584262,0.004048709,0.563398367,0.0,0.012294257,0.0,0.0,1,0,1,0.004972077,0.024361567,0.018185895,0.553092673,,0.01771117,1.076856042,0.004797452,
ro_eeee_1_r1_small,ro_eeee_1,EEEE,small,1,ro_eeee_1_t4,4,ok,1.729002079,E,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.576391788,0.004884045,0.55282914,0.0,0.011865966,0.0,0.0,1,0,1,0.004272967,0.024488386,0.023562648,0.543193467,,0.01690214,1.109816392,0.006766079,
ro_eeee_2_r1_adaptive,ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_t1,1,ok,11.810839674,E,qwen3:0.6b,small,lightweight_small,policy_general,[],"[""qwen3:0.6b""]",cold_start,,,False,False,38,345,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.038808557,0.020715613,0.0,0.0,0.037011375,0.014884538,0.007490878,0,0,1,0.004994485,0.025365133,0.038808557,,0.022375416,0.007896262,11.707352041,0.00404778,
ro_eeee_2_r1_adaptive,ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_t2,2,ok,2.044689981,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,35,386,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.817154529,0.008834422,0.788233462,0.0,0.01029371,0.0,0.0,1,0,1,0.006216074,0.026940968,0.028921067,0.78116771,,0.014008398,1.181340332,0.006095432,
ro_eeee_2_r1_adaptive,ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_t3,3,ok,1.615345702,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,31,431,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.555788827,0.010915353,0.519685078,0.0,0.010114795,0.0,0.0,1,0,1,0.004135495,0.026822791,0.036103749,0.510668541,,0.017900496,1.012116517,0.007598113,
ro_eeee_2_r1_adaptive,ro_eeee_2,EEEE,adaptive,1,ro_eeee_2_t4,4,ok,1.69720779,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,32,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.569961811,0.011958219,0.533154818,0.0,0.01304915,0.0,0.0,1,0,1,0.005899045,0.02620851,0.036806993,0.523308603,,0.01944529,1.080348509,0.00519084,
