grouping,arm,residency_condition,observed_rows,request_wall_seconds_known_count,request_wall_seconds_mean,request_wall_seconds_sum,request_wall_seconds_min,request_wall_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,following_turn_of_condition,return_to_small,after_small_return
residency_condition,adaptive,cold_start,6,6,27.135150606,162.81090363599998,11.732018023,43.448979677,6,47,282,35,62,6,16.946341553166665,101.67804931900001,9.402230354999999,25.914129477,,,
residency_condition,adaptive,resident_same_model,18,18,12.495211995055556,224.913815911,1.343090849,40.074960117,18,45.388888888888886,817,18,100,18,0.004401416444444445,0.079225496,0.002397112,0.00553279,,,
residency_condition,large,cold_start,7,7,47.11846487771429,329.829254144,36.934798038,53.931061108,7,53.714285714285715,376,28,98,7,24.13071599957143,168.915011997,22.880952917,27.246700131,,,
residency_condition,large,resident_same_model,21,21,18.848157854190475,395.811314938,8.223034278,31.670474041,21,44.61904761904762,937,22,100,21,0.004193435285714286,0.088062141,0.001712942,0.006023775,,,
residency_condition,replay,cold_start,6,6,29.00441172516667,174.026470351,10.297521694,63.305060091,6,47.5,285,35,65,6,16.6147953085,99.68877185100001,8.739335296,25.840000305,,,
residency_condition,replay,resident_same_model,18,18,10.137608382833333,182.476950891,0.663455199,30.399399318,18,47.22222222222222,850,18,107,18,0.0022982675555555557,0.041368816,0.001566716,0.003332909,,,
residency_condition,small,cold_start,7,7,11.173735288285714,78.216147018,10.176741946,12.368298365,7,48,336,37,65,7,8.996347415714286,62.97443190999999,8.459617423,9.802749579999999,,,
residency_condition,small,resident_same_model,21,21,1.9729812947142857,41.432607188999995,1.169365254,3.329436228,21,42.285714285714285,888,18,105,21,0.004161745095238095,0.08739664700000001,0.001504106,0.0062680570000000005,,,
following_turn_of_condition,adaptive,,6,6,13.799945358166667,82.799672149,1.713651731,40.074960117,6,48,288,28,88,6,0.0044529316666666666,0.026717590000000003,0.002679487,0.00548081,cold_start,,
following_turn_of_condition,adaptive,,12,12,11.8428453135,142.11414376199997,1.343090849,25.781437469,12,44.083333333333336,529,18,100,12,0.004375658833333333,0.05250790600000001,0.002397112,0.00553279,resident_same_model,,
following_turn_of_condition,adaptive,,6,6,27.135150606,162.81090363599998,11.732018023,43.448979677,6,47,282,35,62,6,16.946341553166665,101.67804931900001,9.402230354999999,25.914129477,,,
following_turn_of_condition,large,,7,7,17.995689857428573,125.969829002,13.4548337,23.779893483,7,45.714285714285715,320,23,88,7,0.003933508857142857,0.027534562,0.002029111,0.0050473770000000005,cold_start,,
following_turn_of_condition,large,,14,14,19.27439185257143,269.84148593599997,8.223034278,31.670474041,14,44.07142857142857,617,22,100,14,0.0043233985,0.060527579,0.001712942,0.006023775,resident_same_model,,
following_turn_of_condition,large,,7,7,47.11846487771429,329.829254144,36.934798038,53.931061108,7,53.714285714285715,376,28,98,7,24.13071599957143,168.915011997,22.880952917,27.246700131,,,
following_turn_of_condition,replay,,6,6,11.525763182166667,69.154579093,1.059311378,30.399399318,6,48,288,28,88,6,0.0024723005,0.014833803,0.001566716,0.003332909,cold_start,,
following_turn_of_condition,replay,,12,12,9.443530983166667,113.322371798,0.663455199,25.451774252,12,46.833333333333336,562,18,107,12,0.0022112510833333333,0.026535013,0.001660449,0.003227992,resident_same_model,,
following_turn_of_condition,replay,,6,6,29.00441172516667,174.026470351,10.297521694,63.305060091,6,47.5,285,35,65,6,16.6147953085,99.68877185100001,8.739335296,25.840000305,,,
following_turn_of_condition,small,,7,7,2.0238177924285714,14.166724547,1.169365254,2.438171556,7,41.285714285714285,289,28,75,7,0.004366051571428571,0.030562361000000003,0.002530503,0.0062680570000000005,cold_start,,
following_turn_of_condition,small,,14,14,1.947563045857143,27.265882642,1.201328101,3.329436228,14,42.785714285714285,599,18,105,14,0.004059591857142857,0.056834286,0.001504106,0.005845146,resident_same_model,,
following_turn_of_condition,small,,7,7,11.173735288285714,78.216147018,10.176741946,12.368298365,7,48,336,37,65,7,8.996347415714286,62.97443190999999,8.459617423,9.802749579999999,,,
return_to_small,adaptive,,24,24,16.155196647791666,387.724719547,1.343090849,43.448979677,24,45.791666666666664,1099,18,100,24,4.239886450625,101.75727481499999,0.002397112,25.914129477,,False,
return_to_small,large,,28,28,25.91573461007143,725.6405690820001,8.223034278,53.931061108,28,46.892857142857146,1313,22,100,28,6.035824076357143,169.003074138,0.001712942,27.246700131,,False,
return_to_small,replay,,24,24,14.854309218416667,356.50342124199994,0.663455199,63.305060091,24,47.291666666666664,1135,18,107,24,4.155422527791667,99.73014066699999,0.001566716,25.840000305,,False,
return_to_small,small,,28,28,4.273169793107143,119.648754207,1.169365254,12.368298365,28,43.714285714285715,1224,18,105,28,2.25220816275,63.06182855699997,0.001504106,9.802749579999999,,False,
after_small_return,adaptive,,24,24,16.155196647791666,387.724719547,1.343090849,43.448979677,24,45.791666666666664,1099,18,100,24,4.239886450625,101.75727481499999,0.002397112,25.914129477,,,False
after_small_return,large,,28,28,25.91573461007143,725.6405690820001,8.223034278,53.931061108,28,46.892857142857146,1313,22,100,28,6.035824076357143,169.003074138,0.001712942,27.246700131,,,False
after_small_return,replay,,24,24,14.854309218416667,356.50342124199994,0.663455199,63.305060091,24,47.291666666666664,1135,18,107,24,4.155422527791667,99.73014066699999,0.001566716,25.840000305,,,False
