attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,answer_generation_seconds,eviction_seconds,residency_audit_seconds,validation_seconds,memory_classifier_seconds,retrieval_seconds
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t3,3,ok,19.575238967,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,43,505,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.01423812,0.0,0.0,0.0,0.004543775,0.0,0.0,0,0,1,0.004281465,0.021949866,0.01423812,19.519081541,,0.007984903,0.007703072,,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t4,4,ok,7.747060287,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,38,456,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.014564656,0.0,0.0,0.0,0.004894854,0.0,0.0,0,0,1,0.005939803,0.021970507,0.014564656,7.68939086,,0.008715478,0.006478983,,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t1,1,ok,10.176741946,D,qwen3:0.6b,small,fixed_generator,policy_general,[],"[""qwen3:0.6b""]",cold_start,,,False,False,42,366,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.020435474,0.010312395,0.0,0.0,0.007676888,0.0,0.0,0,0,1,0.004835199,0.027674689,0.020435474,10.110308318,,0.007299056,0.00618921,,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t2,2,ok,2.43408285,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,43,452,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,1.047044115,0.005607023,1.028011292,0.0,0.008172898,0.0,0.0,1,0,1,0.007351153,0.025058352,0.019032823,1.342053077,,0.014692162,0.005907285,1.019987998,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t3,3,ok,2.04613918,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,40,556,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.626225097,0.006125561,0.604477181,0.0,0.012033934,0.0,0.0,1,0,1,0.004843519,0.023089321,0.021747916,1.379804395,,0.016122206,0.004531705,0.596000118,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t4,4,ok,2.167346967,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,45,579,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.665094223,0.004562234,0.646839046,0.0,0.012177968,0.0,0.0,1,0,1,0.005787347,0.024901547,0.018255177,1.456098296,,0.017609436,0.006919081,0.637776083,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t1,1,ok,41.275758825,D,qwen3:1.7b,large,lightweight_large,resident_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,27.660767823,0.018230563,27.618984309,0.0,0.049784548,0.017194253,0.010199449,1,0,1,0.00582486,0.026744601,0.041783514,13.568219797,0.027393702,0.016941098,0.005982784,27.582868469,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t2,2,ok,15.926363778,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,5.038536083,0.012414409,5.000555433,0.0,0.011267919,0.0,0.0,1,0,1,0.006373992,0.025424862,0.03798065,10.841705943,,0.015609005,0.007096568,4.992172758,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t3,3,ok,25.781437469,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,63,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,7.348764057,0.009311174,7.319295652,0.0,0.01432037,0.0,0.0,1,0,1,0.004636387,0.024164772,0.029468405,18.38805486,,0.018024288,0.004940489,7.312148268,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t4,4,ok,19.994423703,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,5.360618644,0.013152825,5.324624819,0.0,0.012774,0.0,0.0,1,0,1,0.004564929,0.023934719,0.035993825,14.589226635,,0.021599822,0.004348221,5.314755552,
