comparator,pattern,sequence_clusters,complete_three_repetition_clusters,mean_adaptive_minus_comparator_seconds,cluster_min_seconds,cluster_max_seconds,descriptive_cluster_bootstrap_95_low,descriptive_cluster_bootstrap_95_high
small,overall,5,0,39.409290525,0.292755697999997,107.042215797,34.245506027,44.573075023
small,DDDD,2,0,95.67250851200001,84.302801227,107.042215797,84.302801227,107.042215797
small,EEEE,3,0,1.9004785336666654,0.292755697999997,3.372263617999998,0.292755697999997,3.372263617999998
large,overall,5,0,-47.8988030126,-95.958836252,11.584129329999996,-58.5290116928,-37.268594332400006
large,DDDD,2,0,-1.185843364500002,-13.955816059,11.584129329999996,-13.955816059,11.584129329999996
large,EEEE,3,0,-79.04077611133333,-95.958836252,-68.34773824000001,-95.958836252,-68.34773824000001
replay,overall,5,0,9.3417738944,1.9245878979999986,31.096260866999998,3.240357004399999,15.443190784399999
replay,DDDD,2,0,16.5104243825,1.9245878979999986,31.096260866999998,1.9245878979999986,31.096260866999998
replay,EEEE,3,0,4.562673568999998,3.835714437,5.171125917999998,3.835714437,5.171125917999998
