grouping,arm,residency_condition,observed_rows,request_wall_seconds_known_count,request_wall_seconds_mean,request_wall_seconds_sum,request_wall_seconds_min,request_wall_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,following_turn_of_condition,return_to_small,after_small_return
residency_condition,adaptive,cold_start,9,9,21.910810814,197.197297326,10.882655338,43.448979677,9,44.888888888888886,404,35,62,9,14.406728127222221,129.660553145,9.221607932,25.914129477,,,
residency_condition,adaptive,model_switch,3,3,36.19885052866667,108.596551586,30.921172631,43.626951118,3,57,171,52,63,3,24.986561707333333,74.959685122,22.89401744,26.667209071,,,
residency_condition,adaptive,resident_same_model,24,24,11.309578135416666,271.42987525,1.343090849,40.074960117,24,44.875,1077,18,100,24,0.004412770291666666,0.105906487,0.002397112,0.007105825,,,
residency_condition,large,cold_start,9,9,44.30319488255556,398.72875394299996,28.409444035,53.931061108,9,49.44444444444444,445,28,98,9,24.237284220777777,218.135557987,22.880952917,27.246700131,,,
residency_condition,large,resident_same_model,27,27,17.744507926037038,479.101714003,3.975490692,31.670474041,27,45.74074074074074,1235,22,100,27,0.004111197851851852,0.11100234199999999,0.001712942,0.006023775,,,
residency_condition,replay,cold_start,8,8,24.4940832505,195.952666004,10.297521694,63.305060091,8,44.625,357,35,65,8,14.806742716875,118.45394173500002,8.739335296,25.840000305,,,
residency_condition,replay,model_switch,2,2,33.438176479999996,66.87635295999999,28.489395387,38.386957573,2,51,102,46,56,2,23.451632177500002,46.903264355000005,22.805394909,24.097869446,,,
residency_condition,replay,resident_same_model,22,22,10.227710561909092,225.009632362,0.663455199,30.399399318,22,45.81818181818182,1008,18,107,22,0.0022935795454545453,0.05045875,0.001566716,0.003332909,,,
residency_condition,small,cold_start,9,9,11.291232739888889,101.62109465900001,10.176741946,12.368298365,9,46.77777777777778,421,35,65,9,9.099392526444444,81.89453273799998,8.459617423,9.802749579999999,,,
residency_condition,small,resident_same_model,27,27,1.9799270297777778,53.458029804,1.169365254,3.329436228,27,44.03703703703704,1189,18,105,27,0.004044248444444444,0.10919470800000002,0.001504106,0.0062680570000000005,,,
following_turn_of_condition,adaptive,,9,9,21.266247081666666,191.39622373499998,1.713651731,43.626951118,9,51,459,28,88,9,8.331822523555555,74.986402712,0.002679487,26.667209071,cold_start,,
following_turn_of_condition,adaptive,,3,3,6.045058737333333,18.135176212,4.664474588,7.048580157,3,50.666666666666664,152,26,67,3,0.004194847,0.012584541,0.002737118,0.007105825,model_switch,,
following_turn_of_condition,adaptive,,15,15,11.366335125933333,170.49502688899994,1.343090849,25.781437469,15,42.46666666666667,637,18,100,15,0.0044402904,0.066604356,0.002397112,0.00574234,resident_same_model,,
following_turn_of_condition,adaptive,,9,9,21.910810814,197.197297326,10.882655338,43.448979677,9,44.888888888888886,404,35,62,9,14.406728127222221,129.660553145,9.221607932,25.914129477,,,
following_turn_of_condition,large,,9,9,16.456798283444446,148.11118455099998,5.499343794,23.779893483,9,50.111111111111114,451,23,88,9,0.0038878625555555557,0.034990763,0.002029111,0.0050473770000000005,cold_start,,
following_turn_of_condition,large,,18,18,18.388362747333332,330.990529452,3.975490692,31.670474041,18,43.55555555555556,784,22,100,18,0.0042228655,0.076011579,0.001712942,0.006023775,resident_same_model,,
following_turn_of_condition,large,,9,9,44.30319488255556,398.72875394299996,28.409444035,53.931061108,9,49.44444444444444,445,28,98,9,24.237284220777777,218.135557987,22.880952917,27.246700131,,,
following_turn_of_condition,replay,,8,8,17.003866506625,136.030932053,1.059311378,38.386957573,8,48.75,390,28,88,8,5.86476226975,46.918098158,0.001566716,24.097869446,cold_start,,
following_turn_of_condition,replay,,2,2,10.434000016,20.868000032,4.556895044,16.311104988,2,42.5,85,26,59,2,0.0022232185,0.004446437,0.001754728,0.002691709,model_switch,,
following_turn_of_condition,replay,,14,14,9.641932374071429,134.987053237,0.663455199,25.451774252,14,45.357142857142854,635,18,107,14,0.0022270364285714287,0.031178510000000003,0.001660449,0.003227992,resident_same_model,,
following_turn_of_condition,replay,,8,8,24.4940832505,195.952666004,10.297521694,63.305060091,8,44.625,357,35,65,8,14.806742716875,118.45394173500002,8.739335296,25.840000305,,,
following_turn_of_condition,small,,9,9,2.0863850925555556,18.777465833,1.169365254,2.76702718,9,46.77777777777778,421,28,75,9,0.004347899888888889,0.039131099,0.002530503,0.0062680570000000005,cold_start,,
