attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,answer_generation_seconds,eviction_seconds,residency_audit_seconds,validation_seconds,quality_label,correct,memory_classifier_seconds,retrieval_seconds
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t3,3,ok,19.575238967,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,43,505,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.01423812,0.0,0.0,0.0,0.004543775,0.0,0.0,0,0,1,0.004281465,0.021949866,0.01423812,19.519081541,,0.007984903,0.007703072,complete,True,,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t4,4,ok,7.747060287,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,38,456,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.014564656,0.0,0.0,0.0,0.004894854,0.0,0.0,0,0,1,0.005939803,0.021970507,0.014564656,7.68939086,,0.008715478,0.006478983,complete,True,,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t1,1,ok,10.176741946,D,qwen3:0.6b,small,fixed_generator,policy_general,[],"[""qwen3:0.6b""]",cold_start,,,False,False,42,366,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.020435474,0.010312395,0.0,0.0,0.007676888,0.0,0.0,0,0,1,0.004835199,0.027674689,0.020435474,10.110308318,,0.007299056,0.00618921,incorrect,False,,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t2,2,ok,2.43408285,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,43,452,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,1.047044115,0.005607023,1.028011292,0.0,0.008172898,0.0,0.0,1,0,1,0.007351153,0.025058352,0.019032823,1.342053077,,0.014692162,0.005907285,complete,True,1.019987998,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t3,3,ok,2.04613918,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,40,556,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.626225097,0.006125561,0.604477181,0.0,0.012033934,0.0,0.0,1,0,1,0.004843519,0.023089321,0.021747916,1.379804395,,0.016122206,0.004531705,complete,True,0.596000118,
ro_dddd_1_r1_small,ro_dddd_1,DDDD,small,1,ro_dddd_1_t4,4,ok,2.167346967,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,45,579,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.665094223,0.004562234,0.646839046,0.0,0.012177968,0.0,0.0,1,0,1,0.005787347,0.024901547,0.018255177,1.456098296,,0.017609436,0.006919081,partial,False,0.637776083,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t1,1,ok,41.275758825,D,qwen3:1.7b,large,lightweight_large,resident_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,27.660767823,0.018230563,27.618984309,0.0,0.049784548,0.017194253,0.010199449,1,0,1,0.00582486,0.026744601,0.041783514,13.568219797,0.027393702,0.016941098,0.005982784,incorrect,False,27.582868469,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t2,2,ok,15.926363778,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,5.038536083,0.012414409,5.000555433,0.0,0.011267919,0.0,0.0,1,0,1,0.006373992,0.025424862,0.03798065,10.841705943,,0.015609005,0.007096568,incorrect,False,4.992172758,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t3,3,ok,25.781437469,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,63,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,7.348764057,0.009311174,7.319295652,0.0,0.01432037,0.0,0.0,1,0,1,0.004636387,0.024164772,0.029468405,18.38805486,,0.018024288,0.004940489,incorrect,False,7.312148268,
ro_dddd_2_r1_adaptive,ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_t4,4,ok,19.994423703,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,5.360618644,0.013152825,5.324624819,0.0,0.012774,0.0,0.0,1,0,1,0.004564929,0.023934719,0.035993825,14.589226635,,0.021599822,0.004348221,incorrect,False,5.314755552,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t1,1,ok,47.632983505,D,qwen3:1.7b,large,fixed_generator,fixed_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,32.442148585,0.009862352,32.413435725,0.0,0.012808269,0.0,0.0,1,0,1,0.005982782,0.027101435,0.02871286,15.141384661,,0.016742881,0.007609921,incorrect,False,32.405448965,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t2,2,ok,15.365938999,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,8.606746092,0.005057035,8.585288198,0.0,0.009503369,0.0,0.0,1,0,1,0.006199843,0.022977413,0.021457894,6.717446298,,0.01591912,0.00494356,incorrect,False,8.576994871,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t3,3,ok,22.954188427,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,61,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,4.940838984,0.005710361,4.91974001,0.0,0.014836282,0.0,0.0,1,0,1,0.004972074,0.024069308,0.021098974,17.969917772,,0.01728811,0.006219908,incorrect,False,4.910622281,
ro_dddd_2_r1_large,ro_dddd_2,DDDD,large,1,ro_dddd_2_t4,4,ok,31.670474041,D,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,976433971,0.5886331604106347,2048,7.815558055,0.005473203,7.792327547,0.0,0.01220045,0.0,0.0,1,0,1,0.004449598,0.024145119,0.023230508,23.810277377,,0.019975592,0.006520682,incorrect,False,7.781875165,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t1,1,ok,32.315069366,D,qwen3:1.7b,large,lightweight_large,resident_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,35,344,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.020664955,0.0,0.0,0.0,0.039925751,0.015080099,0.007298684,0,0,1,0.005784637,0.028888265,0.020664955,32.223523054,0.022378783,0.00750272,0.006326952,incorrect,False,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t2,2,ok,7.379109481,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,30,413,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.024865846,0.0,0.0,0.0,0.005168143,0.0,0.0,0,0,1,0.006671087,0.0237607,0.024865846,7.308882952,,0.008693402,0.006235494,incorrect,False,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t3,3,ok,20.102366791,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,63,514,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.015667472,0.0,0.0,0.0,0.008487574,0.0,0.0,0,0,1,0.00475991,0.026450838,0.015667472,20.044023717,,0.006811794,0.00465306,incorrect,False,,
ro_dddd_2_r1_replay,ro_dddd_2,DDDD,replay,1,ro_dddd_2_t4,4,ok,12.574013972,D,qwen3:1.7b,large,lightweight_large,resident_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,45,513,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826258,1098876190,0.662442003615788,2048,0.015705937,0.0,0.0,0.0,0.006060066,0.0,0.0,0,0,1,0.005987008,0.024132839,0.015705937,12.512883156,,0.00820152,0.007103512,incorrect,False,,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t1,1,ok,12.368298365,D,qwen3:0.6b,small,fixed_generator,fixed_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,62,372,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,10.269862165,0.010198262,10.245681242,0.0,0.009893199,0.0,0.0,1,0,1,0.006357926,0.026912179,0.024180923,2.048061513,,0.014468814,0.009670155,complete,True,10.238646855,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t2,2,ok,2.3155109,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,44,464,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.834800248,0.005059082,0.815207134,0.0,0.010696288,0.0,0.0,1,0,1,0.004988455,0.030540321,0.019593114,1.419620956,,0.021579908,0.015163934,incorrect,False,0.804024212,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t3,3,ok,2.914311144,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,69,557,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.581295417,0.004574751,0.55823535,0.0,0.012021116,0.0,0.0,1,0,1,0.005784857,0.030529601,0.023060067,2.277685031,,0.019909377,0.008613204,incorrect,False,0.548729007,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t4,4,ok,1.422443937,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,19,569,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.594509425,0.00582553,0.570245044,0.0,0.012362468,0.0,0.0,1,0,1,0.005174669,0.02308202,0.024264381,0.785826557,,0.017802389,0.006595082,incorrect,False,0.559698839,
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t1,1,ok,41.107489837,D,qwen3:1.7b,large,fixed_generator,policy_personal,[],"[""qwen3:1.7b""]",cold_start,,,False,False,62,416,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.017706501,0.00890466,0.0,0.0,0.005558648,0.0,0.0,0,0,1,0.0047232,0.037024467,0.017706501,40.935341103,,0.008873999,0.017038988,incorrect,False,,0.086781579
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t2,2,ok,23.779893483,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,75,408,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.019335434,0.008562503,0.0,0.0,0.011193038,0.0,0.0,0,0,1,0.005836861,0.037396368,0.019335434,23.623790616,,0.009911786,0.010436024,complete,True,,0.073186394
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t3,3,ok,26.549969303,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,74,485,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.014954194,0.005137962,0.0,0.0,0.005225132,0.0,0.0,0,0,1,0.004855457,0.060735158,0.014954194,26.381587872,,0.007457926,0.01473124,complete,True,,0.065647456
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t4,4,interrupted,27.544813412,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,,,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.019366563,0.006143652,0.0,0.0,0.006089634,0.0,0.0,0,0,1,0.005688342,0.03636298,0.019366563,27.385423646,,0.009788258,0.0127524,technical_failure,False,,0.075431223
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t1,1,ok,11.272536751,D,qwen3:0.6b,small,fixed_generator,policy_personal,[],"[""qwen3:0.6b""]",cold_start,,,False,False,65,416,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.019458053,0.009838741,0.0,0.0,0.005509147,0.0,0.0,0,0,1,0.007137479,0.042695763,0.019458053,11.042181719,,0.007743673,0.013216819,partial,False,,0.140103245
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t2,2,ok,2.438171556,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,75,408,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.023333327,0.012678372,0.0,0.0,0.006221679,0.0,0.0,0,0,1,0.003939918,0.038601627,0.023333327,2.268025695,,0.007047237,0.012053234,complete,True,,0.085170518
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t3,3,ok,3.329436228,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,105,485,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.013714273,0.004310553,0.0,0.0,0.004925034,0.0,0.0,0,0,1,0.005118224,0.042939026,0.013714273,3.171267987,,0.011385439,0.013746465,incorrect,False,,0.071264814
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t4,4,ok,2.921805186,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,91,457,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.014476629,0.004368122,0.0,0.0,0.005904997,0.0,0.0,0,0,1,0.004505758,0.030642874,0.014476629,2.768933578,,0.007127176,0.01721773,partial,False,,0.078901441
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t1,1,ok,11.732018023,E,qwen3:0.6b,small,lightweight_small,resident_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,37,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,10.393335798,0.016003475,10.359175058,0.0,0.045953055,0.015274762,0.008402607,1,0,1,0.004618621,0.022617711,0.03416074,1.298428759,0.023677369,0.014992041,0.004865857,complete,True,10.328656925,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t2,2,ok,1.713651731,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,32,385,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.58966719,0.00941443,0.562161926,0.0,0.010892626,0.0,0.0,1,0,1,0.006379958,0.021344543,0.027505264,1.079968781,,0.017788718,0.005044548,complete,True,0.555619919,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t3,3,ok,1.669972761,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,429,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.537005671,0.00879215,0.508830477,0.0,0.01344626,0.0,0.0,1,0,1,0.004063414,0.022203691,0.028175194,1.092010316,,0.018705563,0.005598987,complete,True,0.499215596,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t4,4,ok,1.778011064,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.565829274,0.011113398,0.531070631,0.0,0.013166897,0.0,0.0,1,0,1,0.004456349,0.032960379,0.034758643,1.160530502,,0.016523839,0.006377718,complete,True,0.522403634,
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,ro_eeee_1_t1,1,ok,51.157983641,E,qwen3:1.7b,large,fixed_generator,fixed_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,28,314,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,814261207,0.4908689803011657,2048,34.40377178,0.011905042,34.376479899,0.0,0.01405166,0.0,0.0,1,0,1,0.005920095,0.032387407,0.027291881,16.702441751,,0.015503011,0.006241347,complete,True,34.368198149,
