attempt_directory,sequence_id,pattern,arm,repetition,telemetry_samples,ram_peak_mib,logical_swap_peak_mib,temperature_peak_c,gpu_utilization_mean_percent,gpu_utilization_max_percent,cpu_utilization_mean_percent,cpu_utilization_max_percent,cleanup_seconds,cleanup_errors,resident_models_after_cleanup
ro_eeee_2_r1_small,ro_eeee_2,EEEE,small,1,36,5796,1879,56.187,70.61111111111111,99,54.833333333333336,78.66666666666667,0.164544833,[],[]
ro_eeee_3_r1_adaptive,ro_eeee_3,EEEE,adaptive,1,44,5639,1891,56.156,68.04545454545455,99,51.39772727272727,71.66666666666667,0.144543921,[],[]
ro_eeee_3_r1_large,ro_eeee_3,EEEE,large,1,178,6471,1892,56.25,58.60112359550562,99,76.36610486891385,100,0.240006167,[],[]
ro_eeee_3_r1_replay,ro_eeee_3,EEEE,replay,1,34,5639,1891,56.0,66.11764705882354,99,53.39705882352941,70,0.228304513,[],[]
ro_eeee_3_r1_small,ro_eeee_3,EEEE,small,1,37,5825,1879,56.343,67.29729729729729,99,52.0045045045045,71.33333333333333,0.158778111,[],[]
ro_dddd_1_r2_adaptive,ro_dddd_1,DDDD,adaptive,2,96,6414,2229,56.687,57.53125,99,43.41840277777778,97.16666666666667,0.199972025,[],[]
ro_dddd_1_r2_large,ro_dddd_1,DDDD,large,2,94,6507,2229,56.281,57.53191489361702,99,44.15425531914894,80.33333333333333,0.196264486,[],[]
ro_dddd_1_r2_replay,ro_dddd_1,DDDD,replay,2,87,6505,2248,56.375,62.724137931034484,99,42.348659003831415,72,0.205700383,[],[]
ro_dddd_1_r2_small,ro_dddd_1,DDDD,small,2,43,5678,2228,56.031,64.20930232558139,99,34.78294573643411,65.16666666666667,0.14699463,[],[]
ro_dddd_1_r3_adaptive,ro_dddd_1,DDDD,adaptive,3,183,6442,2424,56.75,57.994535519125684,99,72.95810564663023,100,0.215570634,[],[]
ro_dddd_1_r3_large,ro_dddd_1,DDDD,large,3,250,6462,2419,56.875,54.344,99,77.95066666666666,100,0.233591747,[],[]
ro_dddd_1_r3_replay,ro_dddd_1,DDDD,replay,3,253,6522,2447,56.281,52.75098814229249,99,79.6745718050066,100,0.2683489,[],[]
ro_dddd_1_r3_small,ro_dddd_1,DDDD,small,3,40,5736,2419,56.937,68.85,99,51.7375,69.33333333333333,0.15590654,[],[]
ro_dddd_2_r2_adaptive,ro_dddd_2,DDDD,adaptive,2,96,6435,2248,56.562,56.833333333333336,99,42.439236111111114,84.83333333333333,0.235756847,[],[]
ro_dddd_2_r2_large,ro_dddd_2,DDDD,large,2,96,6432,2248,56.312,50.96875,99,43.75347222222222,92,0.208325054,[],[]
ro_dddd_2_r2_replay,ro_dddd_2,DDDD,replay,2,79,6472,2246,55.406,30.974683544303797,99,40.472573839662445,80.33333333333333,0.188220052,[],[]
ro_dddd_2_r2_small,ro_dddd_2,DDDD,small,2,43,5637,2248,56.125,63.53488372093023,99,41.1937984496124,68.16666666666667,0.127624423,[],[]
ro_dddd_2_r3_adaptive,ro_dddd_2,DDDD,adaptive,3,219,6477,2468,56.593,55.21917808219178,99,78.56544901065449,100,0.249324329,[],[]
ro_dddd_2_r3_large,ro_dddd_2,DDDD,large,3,187,6485,2473,56.562,57.04812834224599,99,73.27896613190731,100,0.227601083,[],[]
ro_dddd_2_r3_replay,ro_dddd_2,DDDD,replay,3,187,6453,2473,56.281,51.775401069518715,99,76.88324420677363,100,0.225891626,[],[]
ro_dddd_2_r3_small,ro_dddd_2,DDDD,small,3,45,5682,2466,56.812,67.35555555555555,99,50.56296296296296,68.5,0.136695291,[],[]
ro_dddd_3_r1_adaptive,ro_dddd_3,DDDD,adaptive,1,224,6326,1990,55.593,57.535714285714285,99,76.99404761904762,100,0.204285786,[],[]
ro_dddd_3_r1_replay,ro_dddd_3,DDDD,replay,1,246,6450,1989,56.062,56.84146341463415,99,77.57249322493224,100,0.209079582,[],[]
ro_dddd_3_r2_adaptive,ro_dddd_3,DDDD,adaptive,2,102,6436,2248,56.343,35.13725490196079,99,47.19444444444444,96.66666666666667,0.205985893,[],[]
ro_dddd_3_r2_large,ro_dddd_3,DDDD,large,2,125,6363,2246,55.906,50.304,99,59.792,100,0.194997639,[],[]
ro_dddd_3_r2_replay,ro_dddd_3,DDDD,replay,2,105,6420,2244,55.593,36.904761904761905,99,47.990476190476194,78,0.208786879,[],[]
ro_dddd_3_r2_small,ro_dddd_3,DDDD,small,2,41,5644,2244,56.437,48.8780487804878,99,40.02439024390244,66.83333333333333,0.133471097,[],[]
ro_dddd_3_r3_adaptive,ro_dddd_3,DDDD,adaptive,3,175,6378,2472,56.718,57.38857142857143,99,70.61333333333333,100,0.197628944,[],[]
ro_dddd_3_r3_large,ro_dddd_3,DDDD,large,3,164,6352,2465,56.687,57.19512195121951,99,64.97764227642277,100,0.214012522,[],[]
ro_dddd_3_r3_replay,ro_dddd_3,DDDD,replay,3,126,6406,2465,57.343,60.56349206349206,99,58.58465608465608,99,0.201338325,[],[]
ro_dddd_3_r3_small,ro_dddd_3,DDDD,small,3,45,5704,2472,56.781,72.17777777777778,99,47.7962962962963,66.16666666666667,0.144098983,[],[]
ro_ddee_1_r1_adaptive,ro_ddee_1,DDEE,adaptive,1,218,6481,2123,55.718,60.3394495412844,99,69.50688073394495,100,0.151330953,[],[]
ro_ddee_1_r1_large,ro_ddee_1,DDEE,large,1,248,6462,2096,55.718,55.59274193548387,99,78.59341397849462,100,0.234974294,[],[]
ro_ddee_1_r1_replay,ro_ddee_1,DDEE,replay,1,105,6361,2119,55.75,58.00952380952381,99,39.93174603174603,79.83333333333333,0.161732894,[],[]
ro_ddee_1_r1_small,ro_ddee_1,DDEE,small,1,40,5683,2076,55.406,59.75,99,35.4875,61.833333333333336,0.166252384,[],[]
ro_ddee_1_r2_adaptive,ro_ddee_1,DDEE,adaptive,2,181,6559,2332,56.312,56.4585635359116,99,67.58103130755065,99.66666666666667,0.165197904,[],[]
ro_ddee_1_r2_large,ro_ddee_1,DDEE,large,2,188,6486,2333,56.5,55.13297872340426,99,74.41578014184397,99.66666666666667,0.228447283,[],[]
ro_ddee_1_r2_replay,ro_ddee_1,DDEE,replay,2,156,6514,2342,56.125,57.01282051282051,99,66.94658119658119,100,0.123585775,[],[]
ro_ddee_1_r2_small,ro_ddee_1,DDEE,small,2,40,5686,2328,56.312,61.025,99,48.795833333333334,69.5,0.13746471,[],[]
ro_ddee_1_r3_adaptive,ro_ddee_1,DDEE,adaptive,3,156,6552,2483,55.468,57.07692307692308,99,54.55769230769231,99.33333333333333,0.143387325,[],[]
ro_ddee_1_r3_large,ro_ddee_1,DDEE,large,3,142,6502,2466,55.812,55.901408450704224,99,61.83450704225352,100,0.233489479,[],[]
ro_ddee_1_r3_replay,ro_ddee_1,DDEE,replay,3,120,6483,2466,55.875,54.858333333333334,99,51.4125,96.66666666666667,0.147045903,[],[]
ro_ddee_1_r3_small,ro_ddee_1,DDEE,small,3,41,5715,2448,56.125,62.170731707317074,99,44.020325203252035,78.5,0.162442341,[],[]
ro_ddee_2_r1_adaptive,ro_ddee_2,DDEE,adaptive,1,149,6476,2165,55.437,53.604026845637584,99,54.28299776286354,100,0.154404063,[],[]
ro_ddee_2_r1_large,ro_ddee_2,DDEE,large,1,101,6527,2128,55.312,57.31683168316832,99,43.960396039603964,98.66666666666667,0.253093857,[],[]
ro_ddee_2_r1_replay,ro_ddee_2,DDEE,replay,1,112,6488,2184,55.093,57.982142857142854,99,47.325892857142854,98.66666666666667,0.146443422,[],[]
ro_ddee_2_r1_small,ro_ddee_2,DDEE,small,1,41,5695,2118,55.875,64.21951219512195,99,44.3089430894309,84.33333333333333,0.181718651,[],[]
ro_ddee_2_r2_adaptive,ro_ddee_2,DDEE,adaptive,2,183,6487,2380,56.343,57.26775956284153,99,68.39435336976321,100,0.134850277,[],[]
ro_ddee_2_r2_large,ro_ddee_2,DDEE,large,2,170,6449,2361,56.062,55.188235294117646,99,73.55686274509804,100,0.238690193,[],[]
ro_ddee_2_r2_replay,ro_ddee_2,DDEE,replay,2,121,6454,2376,55.875,55.37190082644628,99,60.66528925619835,98.66666666666667,0.157511699,[],[]
ro_ddee_2_r2_small,ro_ddee_2,DDEE,small,2,39,5749,2376,56.562,65.8974358974359,99,50.256410256410255,67.83333333333333,0.152144722,[],[]
ro_ddee_2_r3_adaptive,ro_ddee_2,DDEE,adaptive,3,163,6547,2467,56.0,57.20858895705521,99,59.74642126789366,100,0.165373824,[],[]
ro_ddee_2_r3_large,ro_ddee_2,DDEE,large,3,140,6532,2482,55.906,54.25714285714286,99,62.42619047619048,100,0.262186276,[],[]
ro_ddee_2_r3_replay,ro_ddee_2,DDEE,replay,3,109,6445,2475,55.343,53.357798165137616,98,46.4954128440367,100,0.154781074,[],[]
ro_ddee_2_r3_small,ro_ddee_2,DDEE,small,3,43,5776,2467,56.343,60.06976744186046,99,42.883720930232556,96.33333333333333,0.163729927,[],[]
ro_ddee_3_r1_adaptive,ro_ddee_3,DDEE,adaptive,1,117,6548,2211,56.125,55.14529914529915,99,41.26638176638177,94.5,0.14060769,[],[]
ro_ddee_3_r1_large,ro_ddee_3,DDEE,large,1,99,6569,2208,55.656,57.44444444444444,99,49.484848484848484,100,0.240171078,[],[]
ro_ddee_3_r1_replay,ro_ddee_3,DDEE,replay,1,105,6493,2236,56.312,58.01904761904762,99,41.13492063492063,95.66666666666667,0.15144575,[],[]
ro_ddee_3_r1_small,ro_ddee_3,DDEE,small,1,42,5790,2183,56.062,65.21428571428571,99,35.6468253968254,62.166666666666664,0.157742989,[],[]
ro_ddee_3_r2_adaptive,ro_ddee_3,DDEE,adaptive,2,193,6471,2373,56.531,55.01036269430052,99,69.24525043177893,99.66666666666667,0.145865616,[],[]
ro_ddee_3_r2_large,ro_ddee_3,DDEE,large,2,212,6463,2375,56.562,52.985849056603776,99,77.56682389937107,100,0.263198904,[],[]
ro_ddee_3_r2_replay,ro_ddee_3,DDEE,replay,2,175,6513,2397,56.406,56.62285714285714,99,69.66857142857143,98.83333333333333,0.168269846,[],[]
ro_ddee_3_r2_small,ro_ddee_3,DDEE,small,2,41,5710,2372,56.531,63.02439024390244,99,49.203252032520325,69.83333333333333,0.163176345,[],[]
ro_ddee_3_r3_adaptive,ro_ddee_3,DDEE,adaptive,3,150,6563,2472,55.812,55.82666666666667,99,57.61888888888889,100,0.18787392,[],[]
ro_ddee_3_r3_large,ro_ddee_3,DDEE,large,3,114,6600,2474,56.843,59.05263157894737,99,54.38011695906433,97.66666666666667,0.229952122,[],[]
ro_ddee_3_r3_replay,ro_ddee_3,DDEE,replay,3,151,6485,2473,55.781,56.549668874172184,99,55.8962472406181,100,0.140168011,[],[]
ro_ddee_3_r3_small,ro_ddee_3,DDEE,small,3,42,5778,2472,56.312,66.73809523809524,99,43.63492063492063,88.5,0.153265771,[],[]
ro_eded_1_r1_adaptive,ro_eded_1,EDED,adaptive,1,161,6519,2028,55.843,59.05590062111801,99,66.0879917184265,99.66666666666667,0.227204165,[],[]
ro_eded_1_r1_large,ro_eded_1,EDED,large,1,174,6467,1988,56.062,57.46551724137931,99,73.272030651341,100,0.213543521,[],[]
ro_eded_1_r1_replay,ro_eded_1,EDED,replay,1,166,6488,2028,55.625,57.22289156626506,99,67.32128514056225,100,0.211097929,[],[]
ro_eded_1_r1_small,ro_eded_1,EDED,small,1,37,5637,1988,56.062,65.78378378378379,99,44.96396396396396,77,0.132929175,[],[]
ro_eded_1_r2_adaptive,ro_eded_1,EDED,adaptive,2,174,6571,2243,56.562,53.764367816091955,99,71.85344827586206,100,0.255642673,[],[]
ro_eded_1_r2_large,ro_eded_1,EDED,large,2,119,6439,2244,56.125,40.05042016806723,99,55.63865546218487,100,0.259365356,[],[]
ro_eded_1_r2_replay,ro_eded_1,EDED,replay,2,156,6420,2211,55.593,56.82051282051282,99,67.84508547008546,100,0.233049325,[],[]
ro_eded_1_r2_small,ro_eded_1,EDED,small,2,44,5595,2209,56.375,62.72727272727273,98,52.04924242424242,94.33333333333333,0.153002287,[],[]
ro_eded_1_r3_adaptive,ro_eded_1,EDED,adaptive,3,108,6494,2465,55.5,55.9537037037037,99,47.141975308641975,100,0.238878897,[],[]
ro_eded_1_r3_large,ro_eded_1,EDED,large,3,112,6515,2464,56.031,56.705357142857146,99,57.4375,100,0.226550445,[],[]
ro_eded_1_r3_replay,ro_eded_1,EDED,replay,3,114,6565,2473,55.718,57.166666666666664,99,49.09795321637427,98.66666666666667,0.198261757,[],[]
ro_eded_1_r3_small,ro_eded_1,EDED,small,3,36,5643,2464,56.281,64.16666666666667,99,40.93055555555556,63.333333333333336,0.140902292,[],[]
ro_eded_2_r1_adaptive,ro_eded_2,EDED,adaptive,1,122,6483,2060,56.531,61.622950819672134,99,49.118852459016395,99,0.24683833,[],[]
ro_eded_2_r1_large,ro_eded_2,EDED,large,1,213,6593,2056,56.0,57.751173708920184,99,74.89593114241002,100,0.23243046,[],[]
ro_eded_2_r1_replay,ro_eded_2,EDED,replay,1,106,6341,2050,55.187,59.509433962264154,99,39.424528301886795,93.66666666666667,0.234614079,[],[]
ro_eded_2_r1_small,ro_eded_2,EDED,small,1,43,5763,2028,56.375,72.11627906976744,99,53.73255813953488,86.16666666666667,0.185270361,[],[]
ro_eded_2_r2_adaptive,ro_eded_2,EDED,adaptive,2,226,6498,2333,56.875,58.084070796460175,99,73.68952802359883,100,0.255626209,[],[]
ro_eded_2_r2_large,ro_eded_2,EDED,large,2,214,6570,2299,56.843,55.71028037383178,99,77.52881619937695,100,0.245881646,[],[]
ro_eded_2_r2_replay,ro_eded_2,EDED,replay,2,142,6444,2325,55.718,56.90845070422535,99,60.11619718309859,100,0.208819595,[],[]
ro_eded_2_r2_small,ro_eded_2,EDED,small,2,45,5744,2324,56.593,64.37777777777778,99,56.63333333333333,88.5,0.152458114,[],[]
ro_eded_2_r3_adaptive,ro_eded_2,EDED,adaptive,3,135,6586,2473,56.031,59.851851851851855,99,53.681481481481484,99.16666666666667,0.214790726,[],[]
ro_eded_2_r3_large,ro_eded_2,EDED,large,3,155,6633,2484,55.968,56.883870967741935,99,65.15483870967742,100,0.231002808,[],[]
ro_eded_2_r3_replay,ro_eded_2,EDED,replay,3,138,6405,2483,55.531,54.60144927536232,99,55.40458937198068,98.66666666666667,0.217479612,[],[]
ro_eded_2_r3_small,ro_eded_2,EDED,small,3,43,5822,2473,56.343,66.55813953488372,99,41.434108527131784,79.33333333333333,0.131014318,[],[]
ro_eded_3_r1_adaptive,ro_eded_3,EDED,adaptive,1,110,6455,2076,55.312,55.68181818181818,99,43.25151515151515,96,0.226008371,[],[]
ro_eded_3_r1_large,ro_eded_3,EDED,large,1,99,6542,2052,55.312,55.91919191919192,99,49.81144781144781,99,0.209918155,[],[]
ro_eded_3_r1_replay,ro_eded_3,EDED,replay,1,110,6416,2077,55.062,56.627272727272725,99,44.839393939393936,98.66666666666667,0.254000465,[],[]
ro_eded_3_r1_small,ro_eded_3,EDED,small,1,41,5686,2050,55.906,64.85365853658537,99,42.451219512195124,79.66666666666667,0.141897387,[],[]
ro_eded_3_r2_adaptive,ro_eded_3,EDED,adaptive,2,128,6415,2326,56.0,54.3203125,99,55.03125,100,0.203111024,[],[]
ro_eded_3_r2_large,ro_eded_3,EDED,large,2,111,6442,2326,56.437,57,99,57.370870870870874,100,0.230211725,[],[]
ro_eded_3_r2_replay,ro_eded_3,EDED,replay,2,115,6481,2323,55.843,57.947826086956525,99,50.14492753623188,100,0.2488839,[],[]
ro_eded_3_r2_small,ro_eded_3,EDED,small,2,40,5632,2325,56.406,64.125,99,41.7875,61,0.156143588,[],[]
ro_eded_3_r3_adaptive,ro_eded_3,EDED,adaptive,3,111,6493,2482,55.75,57.72072072072072,99,48.471471471471475,95,0.21762248,[],[]
ro_eded_3_r3_large,ro_eded_3,EDED,large,3,113,6531,2485,55.937,55.76106194690266,99,58.69174041297935,100,0.223713616,[],[]
ro_eded_3_r3_replay,ro_eded_3,EDED,replay,3,123,6470,2483,55.781,55.422764227642276,99,51.81707317073171,97.66666666666667,0.230619724,[],[]
ro_eded_3_r3_small,ro_eded_3,EDED,small,3,39,5705,2482,56.406,63.205128205128204,99,39.44444444444444,60.5,0.132587552,[],[]
ro_eeee_1_r2_adaptive,ro_eeee_1,EEEE,adaptive,2,39,5599,2257,55.843,65.87179487179488,99,35.76923076923077,62.833333333333336,0.141029922,[],[]
ro_eeee_1_r2_large,ro_eeee_1,EEEE,large,2,91,6484,2260,55.312,56.86813186813187,99,47.06959706959707,100,0.215809562,[],[]
ro_eeee_1_r2_replay,ro_eeee_1,EEEE,replay,2,34,5533,2231,55.625,57,99,44.55392156862745,77.83333333333333,0.131036841,[],[]
ro_eeee_1_r2_small,ro_eeee_1,EEEE,small,2,37,5648,2256,55.562,57.4054054054054,99,38.63513513513514,72.83333333333333,0.151412651,[],[]
ro_eeee_1_r3_adaptive,ro_eeee_1,EEEE,adaptive,3,38,5693,2396,56.718,68.05263157894737,99,50.65350877192982,67.83333333333333,0.123647079,[],[]
ro_eeee_1_r3_large,ro_eeee_1,EEEE,large,3,105,6456,2378,55.718,57.42857142857143,99,54.765079365079366,96.66666666666667,0.214674429,[],[]
ro_eeee_1_r3_replay,ro_eeee_1,EEEE,replay,3,36,5546,2377,55.562,62.638888888888886,98,43.13425925925926,92,0.125078414,[],[]
ro_eeee_1_r3_small,ro_eeee_1,EEEE,small,3,39,5708,2379,56.593,65.28205128205128,99,54.05982905982906,82,0.141721925,[],[]
ro_eeee_2_r2_adaptive,ro_eeee_2,EEEE,adaptive,2,36,5660,2223,55.812,31.444444444444443,96,37.300925925925924,69.83333333333333,0.121942403,[],[]
ro_eeee_2_r2_large,ro_eeee_2,EEEE,large,2,95,6464,2229,55.687,42.28421052631579,99,47.0140350877193,99.33333333333333,0.226430504,[],[]
ro_eeee_2_r2_replay,ro_eeee_2,EEEE,replay,2,34,5603,2223,55.031,59.94117647058823,99,33.955882352941174,60.5,0.148269855,[],[]
ro_eeee_2_r2_small,ro_eeee_2,EEEE,small,2,34,5663,2223,55.468,39.588235294117645,99,37.51960784313726,67.16666666666667,0.119371854,[],[]
ro_eeee_2_r3_adaptive,ro_eeee_2,EEEE,adaptive,3,37,5707,2376,56.031,64.8108108108108,99,41.08108108108108,61,0.163060233,[],[]
ro_eeee_2_r3_large,ro_eeee_2,EEEE,large,3,139,6530,2376,56.312,56.460431654676256,99,62.28896882494005,100,0.241936386,[],[]
ro_eeee_2_r3_replay,ro_eeee_2,EEEE,replay,3,35,5643,2376,56.312,63.82857142857143,99,48.36190476190476,73.33333333333333,0.129572716,[],[]
ro_eeee_2_r3_small,ro_eeee_2,EEEE,small,3,37,5766,2376,56.25,67.83783783783784,99,43.4009009009009,75.33333333333333,0.133004704,[],[]
ro_eeee_3_r2_adaptive,ro_eeee_3,EEEE,adaptive,2,39,5655,2221,55.625,60.743589743589745,99,38.32905982905983,64,0.169534964,[],[]
ro_eeee_3_r2_large,ro_eeee_3,EEEE,large,2,86,6478,2223,55.062,61.68604651162791,99,43.583333333333336,99,0.234864585,[],[]
ro_eeee_3_r2_replay,ro_eeee_3,EEEE,replay,2,33,5614,2209,55.0,57.72727272727273,99,31.550505050505052,62.333333333333336,0.171064284,[],[]
ro_eeee_3_r2_small,ro_eeee_3,EEEE,small,2,38,5736,2209,55.531,66.44736842105263,99,41.171052631578945,67.5,0.150150584,[],[]
ro_eeee_3_r3_adaptive,ro_eeee_3,EEEE,adaptive,3,37,5710,2368,56.562,64.64864864864865,99,49.24324324324324,68.66666666666667,0.165651042,[],[]
ro_eeee_3_r3_large,ro_eeee_3,EEEE,large,3,146,6532,2379,56.0,55.33561643835616,99,71.45319634703196,99,0.249485626,[],[]
ro_eeee_3_r3_replay,ro_eeee_3,EEEE,replay,3,36,5664,2379,55.812,61.94444444444444,99,46.33796296296296,79.83333333333333,0.152314919,[],[]
ro_eeee_3_r3_small,ro_eeee_3,EEEE,small,3,37,5789,2368,56.5,66.32432432432432,99,48.193693693693696,63.833333333333336,0.153379695,[],[]
