sequence_id,pattern,repetition,id,index,comparator,adaptive_status,comparator_status,adaptive_actual_model,comparator_actual_model,identical_actual_model,adaptive_residency_condition,comparator_residency_condition,adaptive_minus_comparator_seconds,output_tokens_difference,gpu_allocation_fraction_difference,adaptive_correct,comparator_correct,quality_outcome,adaptive_minus_comparator_excluding_residency_audit_seconds
ro_dddd_1,DDDD,3,ro_dddd_1_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-5.9671093970000015,-3,0.049861566002615376,True,False,adaptive_only_correct,-5.974346010000001
ro_dddd_1,DDDD,3,ro_dddd_1_t4,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,10.622276526,-7,-0.38545999289006916,True,False,adaptive_only_correct,10.624834432
ro_dddd_1,DDDD,3,ro_dddd_1_t4,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-5.103871842000002,3,0.025906846699296104,True,True,both_correct,-5.101435478000002
ro_dddd_1,DDDD,3,ro_dddd_1_t4,4,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-0.5037385170000004,0,0.049861566002615376,True,True,both_correct,-0.5113754500000004
ro_dddd_2,DDDD,2,ro_dddd_2_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,17.042209485,-27,-0.31164742872065143,False,True,comparator_only_correct,17.029712937
ro_dddd_2,DDDD,2,ro_dddd_2_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,0.2583916389999992,0,0.0498615658147431,False,False,neither_correct,0.24210709599999916
ro_dddd_2,DDDD,2,ro_dddd_2_t1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,4.613177214,0,0.0498615658147431,False,False,neither_correct,4.587446881
ro_dddd_2,DDDD,2,ro_dddd_2_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,2.5355829789999995,-14,-0.31164742872065143,False,False,neither_correct,2.5340179709999995
ro_dddd_2,DDDD,2,ro_dddd_2_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,0.033988379999999374,0,0.0498615658147431,False,False,neither_correct,0.024737916999999374
ro_dddd_2,DDDD,2,ro_dddd_2_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,2.029876392,0,0.0498615658147431,False,False,neither_correct,2.015184067
ro_dddd_2,DDDD,2,ro_dddd_2_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,3.7059577989999997,-6,-0.31164742872065143,False,False,neither_correct,3.704737994
ro_dddd_2,DDDD,2,ro_dddd_2_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-0.12555238499999977,2,0.0498615658147431,False,False,neither_correct,-0.12724768599999978
ro_dddd_2,DDDD,2,ro_dddd_2_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,1.5615631909999994,2,0.0498615658147431,False,False,neither_correct,1.5510826779999993
ro_dddd_2,DDDD,2,ro_dddd_2_t4,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,3.7373656869999996,26,-0.31164742872065143,False,False,neither_correct,3.7446215909999996
ro_dddd_2,DDDD,2,ro_dddd_2_t4,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-0.3609925719999998,0,0.0498615658147431,False,False,neither_correct,-0.3644687239999998
ro_dddd_2,DDDD,2,ro_dddd_2_t4,4,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,0.8812597919999998,0,0.0498615658147431,False,False,neither_correct,0.8720769339999999
ro_dddd_2,DDDD,3,ro_dddd_2_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,30.441697576000003,-27,-0.41136683958936526,False,True,comparator_only_correct,30.439386112
ro_dddd_2,DDDD,3,ro_dddd_2_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,1.3967939700000045,0,0.0,False,False,neither_correct,1.3977405520000046
ro_dddd_2,DDDD,3,ro_dddd_2_t1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,4.685792612,0,0.023954719303319272,False,False,neither_correct,4.676059532
