model,policy,case_id,repetitions,distinct_delivered_outcomes,mean_request_s,mean_success
qwen3:0.6b,OFF,ir_05_05,3,1,1.243885755,
qwen3:0.6b,OFF,ir_05_06,3,1,4.927685897666667,
qwen3:0.6b,OFF,ir_06_01,3,1,1.081370059,
qwen3:0.6b,OFF,ir_06_02,3,1,1.5183289696666666,
qwen3:0.6b,OFF,ir_06_03,3,1,1.5207965773333334,
qwen3:0.6b,OFF,ir_06_04,3,1,1.565896851,
qwen3:0.6b,OFF,ir_06_05,3,1,1.2981923093333334,
qwen3:0.6b,OFF,ir_06_06,3,1,1.0496271973333333,
qwen3:0.6b,OFF,ir_07_01,3,1,1.068732399,
qwen3:0.6b,OFF,ir_07_02,3,1,5.076282852666667,
qwen3:0.6b,OFF,ir_07_03,3,1,1.4691809366666666,
qwen3:0.6b,OFF,ir_07_04,3,1,0.9522942803333334,
qwen3:0.6b,OFF,ir_07_05,3,1,1.1650418093333332,
qwen3:0.6b,OFF,ir_07_06,3,1,1.4942359536666667,
qwen3:0.6b,OFF,ir_08_01,3,1,4.176994089,
qwen3:0.6b,OFF,ir_08_02,3,2,1.3128772313333332,
qwen3:0.6b,OFF,ir_08_03,3,1,1.3185983556666667,
qwen3:0.6b,OFF,ir_08_04,3,1,1.6064731763333333,
qwen3:0.6b,OFF,ir_08_05,3,1,1.2239124086666666,
qwen3:0.6b,OFF,ir_08_06,3,1,1.2970531856666667,
qwen3:0.6b,SELECTIVE,ir_01_01,3,1,1.6625754266666668,
qwen3:0.6b,SELECTIVE,ir_01_02,3,1,1.9747630346666667,
qwen3:0.6b,SELECTIVE,ir_01_03,3,1,2.366636880666667,
qwen3:0.6b,SELECTIVE,ir_01_04,3,2,1.5838544823333334,
qwen3:0.6b,SELECTIVE,ir_01_05,3,1,1.4007061033333332,
qwen3:0.6b,SELECTIVE,ir_01_06,3,1,2.058382195666667,
qwen3:0.6b,SELECTIVE,ir_02_01,3,1,1.6518857286666666,
qwen3:0.6b,SELECTIVE,ir_02_02,3,1,1.5651370340000001,
qwen3:0.6b,SELECTIVE,ir_02_03,3,2,2.588083137,
qwen3:0.6b,SELECTIVE,ir_02_04,3,2,1.433898853,
qwen3:0.6b,SELECTIVE,ir_02_05,3,1,1.633667454,
qwen3:0.6b,SELECTIVE,ir_02_06,3,1,1.3140183566666668,
qwen3:0.6b,SELECTIVE,ir_03_01,3,1,1.6404266366666667,
qwen3:0.6b,SELECTIVE,ir_03_02,3,1,1.5063290533333333,
qwen3:0.6b,SELECTIVE,ir_03_03,3,1,2.0368847113333333,
qwen3:0.6b,SELECTIVE,ir_03_04,3,2,2.1304301536666665,
qwen3:0.6b,SELECTIVE,ir_03_05,3,1,1.6133058006666665,
qwen3:0.6b,SELECTIVE,ir_03_06,3,1,2.1484105396666666,
qwen3:0.6b,SELECTIVE,ir_04_01,3,1,1.723965122,
qwen3:0.6b,SELECTIVE,ir_04_02,3,1,1.4643136226666666,
qwen3:0.6b,SELECTIVE,ir_04_03,3,2,2.1324669270000003,
qwen3:0.6b,SELECTIVE,ir_04_04,3,1,1.29703339,
qwen3:0.6b,SELECTIVE,ir_04_05,3,1,1.2443983603333333,
qwen3:0.6b,SELECTIVE,ir_04_06,3,1,1.244027721,
qwen3:0.6b,SELECTIVE,ir_05_01,3,1,1.650748637,
qwen3:0.6b,SELECTIVE,ir_05_02,3,1,1.7273397326666666,
qwen3:0.6b,SELECTIVE,ir_05_03,3,1,2.172030521,
qwen3:0.6b,SELECTIVE,ir_05_04,3,2,1.7561349623333333,
qwen3:0.6b,SELECTIVE,ir_05_05,3,1,1.8810330416666667,
qwen3:0.6b,SELECTIVE,ir_05_06,3,1,5.260280863333334,
qwen3:0.6b,SELECTIVE,ir_06_01,3,1,1.6310205326666667,
qwen3:0.6b,SELECTIVE,ir_06_02,3,1,1.3716414673333333,
qwen3:0.6b,SELECTIVE,ir_06_03,3,2,2.1957716906666667,
qwen3:0.6b,SELECTIVE,ir_06_04,3,2,2.203624424,
qwen3:0.6b,SELECTIVE,ir_06_05,3,1,2.542102267333333,
qwen3:0.6b,SELECTIVE,ir_06_06,3,1,1.940546666,
qwen3:0.6b,SELECTIVE,ir_07_01,3,1,1.6378942996666668,
qwen3:0.6b,SELECTIVE,ir_07_02,3,1,5.955337966,
qwen3:0.6b,SELECTIVE,ir_07_03,3,1,2.04540856,
qwen3:0.6b,SELECTIVE,ir_07_04,3,1,0.9957094283333333,
qwen3:0.6b,SELECTIVE,ir_07_05,3,2,1.8554968643333334,
qwen3:0.6b,SELECTIVE,ir_07_06,3,1,1.4729925436666667,
qwen3:0.6b,SELECTIVE,ir_08_01,3,1,5.958824372,
qwen3:0.6b,SELECTIVE,ir_08_02,3,3,1.9789656723333333,
qwen3:0.6b,SELECTIVE,ir_08_03,3,1,2.0700826413333333,
qwen3:0.6b,SELECTIVE,ir_08_04,3,1,2.891989719,
qwen3:0.6b,SELECTIVE,ir_08_05,3,1,1.6191549429999998,
qwen3:0.6b,SELECTIVE,ir_08_06,3,1,1.2136666913333334,
qwen3:1.7b,ALWAYS,ir_01_01,3,2,6.641279077,
qwen3:1.7b,ALWAYS,ir_01_02,3,2,10.016696208666668,
qwen3:1.7b,ALWAYS,ir_01_03,3,1,11.880304242000001,
qwen3:1.7b,ALWAYS,ir_01_04,3,1,8.736337752666667,
qwen3:1.7b,ALWAYS,ir_01_05,3,1,10.736528682333333,
qwen3:1.7b,ALWAYS,ir_01_06,3,1,8.765779112,
qwen3:1.7b,ALWAYS,ir_02_01,3,1,6.505900868,
qwen3:1.7b,ALWAYS,ir_02_02,3,2,9.606420661,
qwen3:1.7b,ALWAYS,ir_02_03,3,1,13.258018260666667,
qwen3:1.7b,ALWAYS,ir_02_04,3,2,8.872141653333333,
qwen3:1.7b,ALWAYS,ir_02_05,3,1,6.065809686,
qwen3:1.7b,ALWAYS,ir_02_06,3,2,9.191192811333334,
qwen3:1.7b,ALWAYS,ir_03_01,3,1,6.685792434,
qwen3:1.7b,ALWAYS,ir_03_02,3,1,11.178318147999999,
qwen3:1.7b,ALWAYS,ir_03_03,3,1,12.907160528,
qwen3:1.7b,ALWAYS,ir_03_04,3,2,17.245369623333335,
qwen3:1.7b,ALWAYS,ir_03_05,3,1,5.819165461333333,
qwen3:1.7b,ALWAYS,ir_03_06,3,1,15.585018388333333,
qwen3:1.7b,ALWAYS,ir_04_01,3,1,6.959591921666666,
qwen3:1.7b,ALWAYS,ir_04_02,3,1,8.503104249333333,
qwen3:1.7b,ALWAYS,ir_04_03,3,2,12.399378640333333,
qwen3:1.7b,ALWAYS,ir_04_04,3,2,9.394162826,
qwen3:1.7b,ALWAYS,ir_04_05,3,1,7.714901472666667,
qwen3:1.7b,ALWAYS,ir_04_06,3,1,10.381756984333332,
qwen3:1.7b,ALWAYS,ir_05_01,3,1,7.415440425333333,
qwen3:1.7b,ALWAYS,ir_05_02,3,1,6.450270176666667,
qwen3:1.7b,ALWAYS,ir_05_03,3,1,13.697214759666666,
