grouping,arm,residency_condition,observed_rows,request_wall_seconds_known_count,request_wall_seconds_mean,request_wall_seconds_sum,request_wall_seconds_min,request_wall_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,following_turn_of_condition,return_to_small,after_small_return
residency_condition,adaptive,cold_start,24,24,24.841617138,596.1988113120002,10.785882293,51.800051491,24,50.25,1206,35,108,24,16.831163219416666,403.94791726599993,8.936264769,25.914129477,,,
residency_condition,adaptive,model_switch,12,12,27.9218017025,335.06162043,12.14398132,51.148697606,12,39.916666666666664,479,19,66,12,17.130725582166665,205.56870698600002,8.889271005,26.667209071,,,
residency_condition,adaptive,resident_same_model,60,60,9.907075288466666,594.4245173080004,1.185222035,40.074960117,60,42.833333333333336,2570,18,100,60,0.004794044833333334,0.28764269000000003,0.001497375,0.013288958,,,
residency_condition,large,cold_start,24,24,39.82535125979167,955.8084302349998,26.845147735,61.996477041,24,53.708333333333336,1289,28,108,24,23.9005782525,573.61387806,21.676583483,27.711938806,,,
residency_condition,large,resident_same_model,72,72,12.658190173819444,911.3896925150002,3.849601278,36.073090316,72,42,3024,18,100,72,0.004412437763888889,0.3176955189999999,0.001712942,0.00639549,,,
residency_condition,replay,cold_start,24,24,23.95971180775,575.0330833859999,10.297521694,63.305060091,24,52.708333333333336,1265,35,108,24,16.310896019166666,391.46150446,8.739335296,25.840000305,,,
residency_condition,replay,model_switch,12,12,23.1150254645,277.380305574,10.047544959,42.111060492,12,39.166666666666664,470,19,63,12,16.333015948083332,195.996191377,8.775845108,24.423809228,,,
residency_condition,replay,resident_same_model,60,60,7.161166433533333,429.669986012,0.612445311,30.399399318,60,44.38333333333333,2663,18,114,60,0.0024804976833333334,0.14882986099999998,0.001566716,0.003674656,,,
residency_condition,small,cold_start,24,24,11.433562866833332,274.40550880399996,10.176741946,13.282261808,24,50.833333333333336,1220,35,79,24,9.209394118916666,221.02545885399996,8.459617423,11.645466283,,,
residency_condition,small,resident_same_model,72,72,1.8729735014166666,134.85409210199998,1.074533454,3.329436228,72,41.861111111111114,3014,18,105,72,0.004252087583333334,0.30615030600000015,0.001504106,0.006464019,,,
