arm,purpose,actual_model,observed_rows,gpu_allocation_fraction_known_count,gpu_allocation_fraction_mean,gpu_allocation_fraction_sum,gpu_allocation_fraction_min,gpu_allocation_fraction_max,loaded_bytes_known_count,loaded_bytes_mean,loaded_bytes_sum,loaded_bytes_min,loaded_bytes_max,gpu_allocated_bytes_known_count,gpu_allocated_bytes_mean,gpu_allocated_bytes_sum,gpu_allocated_bytes_min,gpu_allocated_bytes_max,output_tokens_known_count,output_tokens_mean,output_tokens_sum,output_tokens_min,output_tokens_max,prompt_tokens_known_count,prompt_tokens_mean,prompt_tokens_sum,prompt_tokens_min,prompt_tokens_max
adaptive,generation,qwen3:0.6b,36,36,1.0,36.0,1.0,1.0,36,693423308,24963239088,693423308,693423308,36,693423308,24963239088,693423308,693423308,36,32.388888888888886,1166,18,55,36,419.69444444444446,15109,342,557
adaptive,generation,qwen3:1.7b,60,60,0.613122226500482,36.787333590028915,0.5407274430786109,0.6883525712793486,60,1658823112.9,99529386774,1658815773,1658826259,60,1017061397.3833333,61023683843,896972881,1141857320,60,51.483333333333334,3089,18,108,60,445.1666666666667,26710,314,598
adaptive,memory_selector,qwen3:0.6b,24,24,1.0,24.0,1.0,1.0,24,693423308,16642159392,693423308,693423308,24,693423308,16642159392,693423308,693423308,24,13,312,13,13,24,743.0833333333334,17834,740,771
adaptive,memory_selector,qwen3:1.7b,38,38,0.615183341305215,23.376966969598154,0.5407274430786109,0.6883525712793486,38,1658821843.5,63035230053,1658815773,1658826259,38,1020479681.5263158,38778227898,896972881,1141857320,38,13.842105263157896,526,13,17,38,674.9473684210526,25648,270,791
large,generation,qwen3:1.7b,96,96,0.6005061758711069,57.6485928836263,0.4908689803011657,0.662442003615788,96,1658823200.4583333,159247027244,1658815773,1658826259,96,996133655.5833334,95628830936,814261207,1098876190,96,44.927083333333336,4313,18,108,96,429.8125,41262,314,563
large,memory_selector,qwen3:1.7b,62,62,0.5943795804842613,36.85153399002419,0.4908689803011657,0.662442003615788,62,1658822707.1774194,102847007845,1658815773,1658826259,62,985970431.3387097,61130166743,814261207,1098876190,62,13.516129032258064,838,13,17,62,702.4516129032259,43552,270,791
replay,generation,qwen3:0.6b,36,36,1.0,36.0,1.0,1.0,36,693423308,24963239088,693423308,693423308,36,693423308,24963239088,693423308,693423308,36,32.388888888888886,1166,18,55,36,419.69444444444446,15109,342,557
replay,generation,qwen3:1.7b,60,60,0.6032475583481686,36.194853500890105,0.5148201294562925,0.662442003615788,60,1658823986.9666667,99529439218,1658815773,1658826259,60,1000681591.7666667,60040895506,853991751,1098876190,60,53.86666666666667,3232,18,114,60,445.1666666666667,26710,314,598
small,generation,qwen3:0.6b,96,96,1.0,96.0,1.0,1.0,96,693423308,66568637568,693423308,693423308,96,693423308,66568637568,693423308,693423308,96,44.104166666666664,4234,18,105,96,449.0416666666667,43108,342,582
small,memory_selector,qwen3:0.6b,62,62,1.0,62.0,1.0,1.0,62,693423308,42992245096,693423308,693423308,62,693423308,42992245096,693423308,693423308,62,13.516129032258064,838,13,17,62,700.8064516129032,43450,293,791
