repetition,pattern,sequence_variants,mean_sequence_seconds,adaptive_minus_small_seconds,adaptive_minus_large_seconds,adaptive_minus_replay_seconds
1,EEEE,3,"{""small"": 18.931239544, ""large"": 99.872494189, ""adaptive"": 20.831718077666665, ""replay"": 16.269044508666667}",1.9004785336666643,-79.04077611133333,4.5626735689999975
1,DDDD,3,"{""small"": 21.228735425333333, ""large"": 118.82230816333333, ""adaptive"": 115.223209397, ""replay"": 108.072685308}",93.99447397166668,-3.599098766333327,7.150524089000001
1,EDED,3,"{""small"": 19.931610321, ""large"": 81.747554482, ""adaptive"": 65.95013649233333, ""replay"": 64.17626538900001}",46.01852617133333,-15.79741798966667,1.7738711033333203
1,DDEE,3,"{""small"": 20.233375789, ""large"": 75.18119152133333, ""adaptive"": 81.22060302333334, ""replay"": 53.91811384133334}",60.98722723433334,6.039411502000007,27.302489182000002
2,EEEE,3,"{""small"": 17.990941700666667, ""large"": 45.519736119, ""adaptive"": 18.837677967, ""replay"": 16.401317599333332}",0.846736266333334,-26.682058152,2.436360367666669
2,DDDD,3,"{""small"": 21.156196010333332, ""large"": 52.773194171, ""adaptive"": 49.16923686933333, ""replay"": 45.141504149666666}",28.013040859,-3.603957301666668,4.027732719666666
2,EDED,3,"{""small"": 21.347571498, ""large"": 74.61630086933333, ""adaptive"": 88.92350766933333, ""replay"": 69.397268362}",67.57593617133332,14.307206800000003,19.526239307333327
2,DDEE,3,"{""small"": 19.942855699333332, ""large"": 95.98993013766666, ""adaptive"": 94.19364364866667, ""replay"": 76.29105720966668}",74.25078794933333,-1.7962864889999963,17.90258643899999
