sequence_id,pattern,repetition,index,comparator,adaptive_status,comparator_status,adaptive_actual_generator,comparator_actual_generator,adaptive_residency_condition,comparator_residency_condition,adaptive_following_turn_of_condition,adaptive_correct,comparator_correct,adaptive_minus_comparator_request_wall_seconds,adaptive_minus_comparator_generation_output_tokens_all_calls,adaptive_minus_comparator_classifier_output_tokens,adaptive_minus_comparator_all_backend_output_tokens,adaptive_minus_comparator_final_generator_gpu_allocation_fraction,adaptive_minus_comparator_all_backend_load_duration_seconds,adaptive_minus_comparator_all_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_all_backend_eval_duration_seconds,adaptive_minus_comparator_all_backend_total_duration_seconds,adaptive_minus_comparator_generation_backend_load_duration_seconds,adaptive_minus_comparator_generation_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_generation_backend_eval_duration_seconds,adaptive_minus_comparator_generation_backend_total_duration_seconds,adaptive_minus_comparator_classifier_backend_load_duration_seconds,adaptive_minus_comparator_classifier_backend_prompt_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_eval_duration_seconds,adaptive_minus_comparator_classifier_backend_total_duration_seconds
ro_ddee_1,DDEE,2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,-2.3482356440000025,0,0,0,-0.04790571733202387,-9.249399999999939e-05,0.08121900000000037,-2.400137000000001,-2.3215531119999966,-0.00019886300000000008,0.07974700000000007,-5.691201000000001,-5.609137427,0.00010636900000000026,0.0014720000000001399,3.2910639999999995,3.287584315
ro_ddee_1,DDEE,2,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,-1.1986001889999987,1,0,1,-0.04790571733202387,-4.292600000000042e-05,0.19698800000000016,-1.3698239999999995,-1.186867963000001,-0.0003826190000000003,0.04192400000000007,-0.45584699999999945,-0.42899703600000016,0.00033969299999999985,0.15506399999999987,-0.9139770000000003,-0.7578709269999999
ro_ddee_1,DDEE,2,4,large,ok,ok,qwen3:0.6b,qwen3:1.7b,model_switch,resident_same_model,resident_same_model,,,3.5206207360000015,-1,0,-1,0.41136683958936526,10.826582478999999,-1.1865229999999998,-6.302238999999999,3.252654706999998,10.826745885,-0.02072099999999999,-5.698931,5.021806579,-0.00016340600000000005,-1.165802,-0.6033080000000002,-1.7691518720000001
ro_ddee_1,DDEE,2,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,2.9960496209999974,0,0,0,-0.023950998028704595,2.0077604509999993,0.10358400000000001,0.8512740000000001,2.964664108000001,2.0077604509999993,0.10358400000000001,0.8512740000000001,2.964664108000001,0,0,0,0
ro_ddee_1,DDEE,2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,cold_start,,,2.6581359519999985,-26,13,-13,-0.023950998028704595,0.0031186390000000003,1.1035880000000002,1.2845949999999995,2.5445808690000007,0.000782191,-0.025413999999999937,-5.568316000000001,-5.497611023000001,0.002336448,1.129002,6.852911,8.042191892
ro_ddee_1,DDEE,2,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,resident_same_model,resident_same_model,resident_same_model,,,0.1414532830000006,1,13,14,-0.023950998028704595,0.0029646769999999993,1.8552290000000002,-1.9913609999999995,0.042126265000000274,0.0002362089999999998,-0.0023569999999999425,-3.985588999999999,-3.9103743489999996,0.002728468,1.857586,1.994228,3.952500614
ro_ddee_1,DDEE,2,4,replay,ok,ok,qwen3:0.6b,qwen3:0.6b,model_switch,model_switch,resident_same_model,,,6.814643096000001,0,13,13,0.0,1.5274356169999983,0.9624330000000001,4.080317,6.661382840999998,1.5240179909999991,-0.03891899999999998,0.02950799999999998,1.5079410719999995,0.003417626,1.001352,4.050809,5.153441769
ro_ddee_2,DDEE,1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,cold_start,cold_start,,,,23.637707501,-8,0,-8,-0.41136683958936526,16.127833877,1.3861239999999997,5.947329,23.538254821000002,0.0003273619999999999,0.434765,4.963215,5.471650067000001,16.127506515,0.951359,0.984114,18.066604754
ro_ddee_2,DDEE,1,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,cold_start,,,4.025079484,-8,0,-8,-0.41136683958936526,0.00010979400000000073,0.827053,3.161806,4.00521627,-0.0002472099999999999,0.46201600000000004,2.3958830000000004,2.861590247,0.0003570040000000002,0.36503699999999994,0.7659229999999999,1.143626023
ro_ddee_2,DDEE,1,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,resident_same_model,resident_same_model,resident_same_model,,,13.747402809,-4,0,-4,-0.41136683958936526,-0.0009092069999999996,2.087076,11.713905,13.768187798,5.6014000000000064e-05,0.38593900000000003,5.086751,5.462163005,-0.000965221,1.7011370000000001,6.627154,8.306024792999999
ro_ddee_2,DDEE,1,4,small,ok,ok,qwen3:0.6b,qwen3:0.6b,model_switch,resident_same_model,resident_same_model,,,11.835421049,0,0,0,0.0,9.726028848999999,0.9951239999999999,1.0181810000000002,11.614991211,9.726629852,0.43840999999999997,0.11963200000000002,10.190973050999999,-0.0006010029999999997,0.5567139999999999,0.898549,1.42401816
ro_ddee_2,DDEE,1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,cold_start,cold_start,,,,4.901343258000001,0,0,0,0.0,2.270662224999999,0.1163179999999997,2.3195619999999995,4.7761645290000025,-5.854700000000037e-05,-0.001350999999999991,2.000635,2.072832965,2.2707207720000007,0.11766900000000002,0.31892699999999996,2.703331563999999
