restart_phase,history_mode,planned,attempted,delivered,useful_correct,forbidden_disclosure,withheld,interrupted,missing
after,fresh,16,16,15,15,0,1,0,0
after,retained,20,20,19,19,0,1,0,0
before,fresh,20,20,20,19,0,0,0,0
before,retained,40,40,40,39,0,0,0,0
